rank,country,earning,players,tournaments
ComPet,1.,Bulgaria,$500.00,1 Player
ComPet,2.,Panama,$300.00,1 Player
ComPet,3.,Denmark,$227.00,3 Players
ComPet,4.,United Kingdom,$221.50,3 Players
ComPet,5.,Germany,$184.50,6 Players
ComPet,6.,Croatia,$169.00,2 Players
ComPet,7.,Sweden,$115.50,6 Players
ComPet,8.,United States,$103.00,10 Players
ComPet,9.,Canada,$50.00,2 Players
ComPet,10.,Russian Federation,$48.00,5 Players
ComPet,11.,India,$13.00,2 Players
ComPet,12.,Estonia,$10.00,1 Player
ComPet,13.,Finland,$10.00,1 Player
ComPet,14.,Norway,$10.00,1 Player
ComPet,15.,United Arab Emirates,$6.50,1 Player
ComPet,16.,Brazil,$6.50,1 Player
ComPet,17.,Switzerland,$6.50,1 Player
ComPet,18.,Spain,$6.50,1 Player
ComPet,19.,Lithuania,$6.50,1 Player
ComPet,20.,North Macedonia,$6.00,1 Player
