rank,country,earning,players,tournaments
Grey Goo,1.,Netherlands,"$11,250.00",2 Players
Grey Goo,2.,United Kingdom,"$7,500.00",2 Players
Grey Goo,3.,United States,"$6,200.00",5 Players
Grey Goo,4.,Greece,"$2,200.00",1 Player
Grey Goo,5.,Ireland,"$2,200.00",1 Player
Grey Goo,6.,Sweden,"$1,800.00",1 Player
Grey Goo,7.,Poland,"$1,700.00",1 Player
Grey Goo,8.,Canada,"$1,200.00",1 Player
Grey Goo,9.,Finland,$900.00,1 Player
Grey Goo,10.,Belgium,$750.00,1 Player
Grey Goo,11.,Jordan,$500.00,1 Player
Grey Goo,12.,Hungary,$200.00,1 Player
