rank,country,earning,players,tournaments
Lichess,1.,United States,"$762,811.11",87 Players
Lichess,2.,Norway,"$169,381.76",2 Players
Lichess,3.,Russian Federation,"$107,805.61",43 Players
Lichess,4.,Armenia,"$80,773.75",11 Players
Lichess,5.,"Iran, Islamic Republic of","$27,855.09",4 Players
Lichess,6.,France,"$24,200.00",3 Players
Lichess,7.,India,"$20,392.08",9 Players
Lichess,8.,Ukraine,"$13,410.00",6 Players
Lichess,9.,Viet Nam,"$8,645.00",2 Players
Lichess,10.,Peru,"$3,745.00",2 Players
Lichess,11.,Netherlands,"$3,475.00",5 Players
Lichess,12.,Azerbaijan,"$3,438.33",6 Players
Lichess,13.,Belarus,"$3,270.42",5 Players
Lichess,14.,Indonesia,"$2,272.43",106 Players
Lichess,15.,Switzerland,"$1,775.00",1 Player
Lichess,16.,Germany,"$1,160.00",4 Players
Lichess,17.,Uzbekistan,$930.00,5 Players
Lichess,18.,Finland,$870.00,2 Players
Lichess,19.,Turkey,$790.00,4 Players
Lichess,20.,Cuba,$550.00,1 Player
Lichess,21.,Italy,$500.21,2 Players
Lichess,22.,Qatar,$500.00,1 Player
Lichess,23.,Canada,$465.00,1 Player
Lichess,24.,Colombia,$350.00,2 Players
Lichess,25.,Israel,$305.42,5 Players
Lichess,26.,Hungary,$300.00,1 Player
Lichess,27.,Romania,$220.00,1 Player
Lichess,28.,Kazakhstan,$178.38,5 Players
Lichess,29.,Argentina,$150.00,2 Players
Lichess,30.,Greece,$140.00,2 Players
Lichess,31.,--UNDEFINED--,$126.92,4 Players
Lichess,32.,Egypt,$125.00,1 Player
Lichess,33.,Spain,$100.00,1 Player
Lichess,34.,Croatia,$90.00,1 Player
Lichess,35.,Czech Republic,$85.00,1 Player
Lichess,36.,Georgia,$50.00,2 Players
Lichess,37.,Paraguay,$50.00,1 Player
Lichess,38.,Bosnia and Herzegovina,$35.00,1 Player
Lichess,39.,Serbia,$35.00,1 Player
Lichess,40.,Saint Kitts and Nevis,$20.00,1 Player
Lichess,41.,Philippines,$3.40,1 Player
