rank,country,earning,players,tournaments
Pokémon VGC,1.,United States,"$203,250.00",116 Players
Pokémon VGC,2.,Japan,"$104,750.00",29 Players
Pokémon VGC,3.,Italy,"$68,000.00",33 Players
Pokémon VGC,4.,Australia,"$33,250.00",22 Players
Pokémon VGC,5.,Spain,"$33,250.00",9 Players
Pokémon VGC,6.,Germany,"$30,500.00",14 Players
Pokémon VGC,7.,Portugal,"$22,250.00",1 Player
Pokémon VGC,8.,United Kingdom,"$19,500.00",11 Players
Pokémon VGC,9.,Ecuador,"$16,250.00",2 Players
Pokémon VGC,10.,Peru,"$12,000.00",6 Players
Pokémon VGC,11.,Sweden,"$10,250.00",2 Players
Pokémon VGC,12.,China,"$7,750.00",4 Players
Pokémon VGC,13.,Argentina,"$7,500.00",2 Players
Pokémon VGC,14.,"Korea, Republic of","$6,500.00",3 Players
Pokémon VGC,15.,Singapore,"$6,000.00",4 Players
Pokémon VGC,16.,Brazil,"$5,250.00",1 Player
Pokémon VGC,17.,Finland,"$5,000.00",3 Players
Pokémon VGC,18.,France,"$4,750.00",4 Players
Pokémon VGC,19.,Mexico,"$4,000.00",6 Players
Pokémon VGC,20.,Switzerland,"$3,500.00",2 Players
Pokémon VGC,21.,El Salvador,"$3,500.00",1 Player
Pokémon VGC,22.,Thailand,"$2,750.00",2 Players
Pokémon VGC,23.,Chile,"$2,500.00",3 Players
Pokémon VGC,24.,Cuba,"$2,000.00",1 Player
Pokémon VGC,25.,Malaysia,"$1,750.00",3 Players
Pokémon VGC,26.,Norway,"$1,750.00",1 Player
Pokémon VGC,27.,Canada,"$1,500.00",3 Players
Pokémon VGC,28.,Czech Republic,"$1,500.00",1 Player
Pokémon VGC,29.,Hong Kong,"$1,500.00",1 Player
Pokémon VGC,30.,Netherlands,"$1,250.00",2 Players
Pokémon VGC,31.,New Zealand,"$1,000.00",1 Player
Pokémon VGC,32.,United Arab Emirates,$500.00,1 Player
Pokémon VGC,33.,Belgium,$500.00,1 Player
Pokémon VGC,34.,Denmark,$500.00,1 Player
Pokémon VGC,35.,Indonesia,$500.00,1 Player
Pokémon VGC,36.,Ireland,$500.00,1 Player
Pokémon VGC,37.,"Taiwan, Republic of China",$500.00,1 Player
Pokémon VGC,38.,Poland,$250.00,1 Player
Pokémon VGC,39.,Puerto Rico,$102.00,3 Players
