rank,country,earning,players,tournaments
StarCraft Brood War,1.,"Korea, Republic of","$6,793,893.04",530 Players
StarCraft Brood War,2.,China,"$216,028.70",57 Players
StarCraft Brood War,3.,United States,"$92,409.14",36 Players
StarCraft Brood War,4.,Canada,"$88,004.77",23 Players
StarCraft Brood War,5.,Russian Federation,"$82,081.97",70 Players
StarCraft Brood War,6.,Germany,"$55,218.94",21 Players
StarCraft Brood War,7.,Poland,"$29,568.45",33 Players
StarCraft Brood War,8.,Ukraine,"$20,745.11",13 Players
StarCraft Brood War,9.,France,"$19,590.85",5 Players
StarCraft Brood War,10.,Sweden,"$18,934.61",20 Players
StarCraft Brood War,11.,Netherlands,"$11,974.43",5 Players
StarCraft Brood War,12.,Norway,"$11,428.65",4 Players
StarCraft Brood War,13.,Australia,"$6,280.00",1 Player
StarCraft Brood War,14.,Bulgaria,"$5,875.25",6 Players
StarCraft Brood War,15.,Hungary,"$5,456.40",4 Players
StarCraft Brood War,16.,Peru,"$5,221.17",8 Players
StarCraft Brood War,17.,Spain,"$5,096.17",3 Players
StarCraft Brood War,18.,Kazakhstan,"$5,095.00",2 Players
StarCraft Brood War,19.,Brazil,"$3,907.56",3 Players
StarCraft Brood War,20.,"Taiwan, Republic of China","$3,217.12",1 Player
StarCraft Brood War,21.,Czech Republic,"$1,598.71",3 Players
StarCraft Brood War,22.,Mexico,"$1,350.00",3 Players
StarCraft Brood War,23.,Chile,"$1,282.30",5 Players
StarCraft Brood War,24.,Slovakia,$951.76,2 Players
StarCraft Brood War,25.,Argentina,$650.00,2 Players
StarCraft Brood War,26.,Croatia,$525.00,1 Player
StarCraft Brood War,27.,Uruguay,$500.00,1 Player
StarCraft Brood War,28.,United Kingdom,$406.94,4 Players
StarCraft Brood War,29.,Colombia,$300.00,1 Player
StarCraft Brood War,30.,Finland,$165.00,2 Players
StarCraft Brood War,31.,Italy,$160.00,2 Players
StarCraft Brood War,32.,Belarus,$151.51,1 Player
StarCraft Brood War,33.,Lithuania,$133.33,1 Player
StarCraft Brood War,34.,Japan,$69.43,1 Player
StarCraft Brood War,35.,Romania,$10.97,1 Player
