rank,country,earning,players,tournaments
StarCraft II,1.,"Korea, Republic of","$23,493,898.92",648 Players
StarCraft II,2.,China,"$1,802,163.65",278 Players
StarCraft II,3.,United States,"$1,458,803.81",323 Players
StarCraft II,4.,Finland,"$1,442,035.80",50 Players
StarCraft II,5.,France,"$1,310,083.30",111 Players
StarCraft II,6.,Germany,"$1,277,814.55",121 Players
StarCraft II,7.,Poland,"$1,207,782.29",81 Players
StarCraft II,8.,Canada,"$974,422.66",124 Players
StarCraft II,9.,Italy,"$773,106.31",21 Players
StarCraft II,10.,Sweden,"$731,913.55",65 Players
StarCraft II,11.,Mexico,"$620,968.46",19 Players
StarCraft II,12.,"Taiwan, Republic of China","$616,491.70",75 Players
StarCraft II,13.,Netherlands,"$463,428.37",49 Players
StarCraft II,14.,Norway,"$458,693.69",58 Players
StarCraft II,15.,Ukraine,"$405,088.10",38 Players
StarCraft II,16.,Russian Federation,"$373,577.17",101 Players
StarCraft II,17.,Australia,"$333,374.19",59 Players
StarCraft II,18.,Brazil,"$255,710.24",33 Players
StarCraft II,19.,Denmark,"$202,821.70",34 Players
StarCraft II,20.,Spain,"$201,454.36",37 Players
StarCraft II,21.,United Kingdom,"$150,204.76",59 Players
StarCraft II,22.,Peru,"$56,744.96",19 Players
StarCraft II,23.,Chile,"$54,740.30",14 Players
StarCraft II,24.,New Zealand,"$52,857.09",15 Players
StarCraft II,25.,Kazakhstan,"$40,111.25",10 Players
StarCraft II,26.,Viet Nam,"$36,350.93",8 Players
StarCraft II,27.,Singapore,"$35,817.09",42 Players
StarCraft II,28.,Philippines,"$35,789.90",12 Players
StarCraft II,29.,Hong Kong,"$27,695.48",5 Players
StarCraft II,30.,Austria,"$25,966.80",8 Players
StarCraft II,31.,Romania,"$25,618.68",7 Players
StarCraft II,32.,Croatia,"$23,549.35",9 Players
StarCraft II,33.,Serbia,"$18,939.83",1 Player
StarCraft II,34.,Belgium,"$17,496.66",15 Players
StarCraft II,35.,Switzerland,"$17,031.78",15 Players
StarCraft II,36.,Slovenia,"$16,476.88",1 Player
StarCraft II,37.,Japan,"$15,542.34",6 Players
StarCraft II,38.,India,"$14,748.17",1 Player
StarCraft II,39.,Colombia,"$14,593.50",3 Players
StarCraft II,40.,Malaysia,"$14,166.93",28 Players
StarCraft II,41.,South Africa,"$13,474.95",15 Players
StarCraft II,42.,Belarus,"$12,876.37",4 Players
StarCraft II,43.,Thailand,"$11,366.68",17 Players
StarCraft II,44.,Venezuela,"$10,371.42",5 Players
StarCraft II,45.,Lithuania,"$8,847.11",8 Players
StarCraft II,46.,Argentina,"$6,271.40",16 Players
StarCraft II,47.,Czech Republic,"$5,856.82",19 Players
StarCraft II,48.,Turkey,"$4,894.75",2 Players
StarCraft II,49.,Mongolia,"$4,887.50",1 Player
StarCraft II,50.,Portugal,"$4,611.73",4 Players
StarCraft II,51.,Bulgaria,"$4,429.81",11 Players
StarCraft II,52.,Slovakia,"$3,638.69",5 Players
StarCraft II,53.,Israel,"$3,275.89",5 Players
StarCraft II,54.,Ireland,"$2,772.34",5 Players
StarCraft II,55.,Bolivia,"$2,600.00",3 Players
StarCraft II,56.,Indonesia,"$2,480.00",8 Players
StarCraft II,57.,Myanmar,"$1,425.00",7 Players
StarCraft II,58.,Brunei Darussalam,"$1,350.00",4 Players
StarCraft II,59.,Lao People's Democratic Republic,"$1,350.00",6 Players
StarCraft II,60.,Estonia,"$1,223.89",3 Players
StarCraft II,61.,Saudi Arabia,"$1,198.60",1 Player
StarCraft II,62.,Syrian Arab Republic,"$1,198.60",1 Player
StarCraft II,63.,Panama,"$1,000.00",2 Players
StarCraft II,64.,Costa Rica,$637.00,2 Players
StarCraft II,65.,Hungary,$461.80,5 Players
StarCraft II,66.,United Arab Emirates,$400.00,1 Player
StarCraft II,67.,Greece,$384.44,2 Players
StarCraft II,68.,"Iran, Islamic Republic of",$333.90,2 Players
StarCraft II,69.,Luxembourg,$173.51,1 Player
StarCraft II,70.,Albania,$106.67,1 Player
StarCraft II,71.,Uruguay,$50.00,1 Player
StarCraft II,72.,"Moldova, Republic of",$7.50,1 Player
