rank,country,earning,players,tournaments
StarCraft Remastered,1.,"Korea, Republic of","$2,324,674.63",277 Players
StarCraft Remastered,2.,China,"$226,561.50",87 Players
StarCraft Remastered,3.,Poland,"$46,733.46",17 Players
StarCraft Remastered,4.,Russian Federation,"$42,170.24",12 Players
StarCraft Remastered,5.,Peru,"$26,340.65",8 Players
StarCraft Remastered,6.,United States,"$23,116.40",21 Players
StarCraft Remastered,7.,Canada,"$11,338.02",6 Players
StarCraft Remastered,8.,Sweden,"$8,733.65",5 Players
StarCraft Remastered,9.,United Kingdom,"$7,777.58",1 Player
StarCraft Remastered,10.,Spain,"$4,210.48",2 Players
StarCraft Remastered,11.,Chile,"$3,936.00",4 Players
StarCraft Remastered,12.,Hungary,"$3,351.12",2 Players
StarCraft Remastered,13.,Italy,"$2,000.00",2 Players
StarCraft Remastered,14.,Denmark,$450.00,1 Player
StarCraft Remastered,15.,Czech Republic,$287.11,8 Players
StarCraft Remastered,16.,North Macedonia,$190.00,1 Player
StarCraft Remastered,17.,Norway,$125.00,2 Players
StarCraft Remastered,18.,Kazakhstan,$110.00,1 Player
StarCraft Remastered,19.,Bolivia,$65.00,1 Player
StarCraft Remastered,20.,Germany,$50.00,1 Player
StarCraft Remastered,21.,Croatia,$30.00,1 Player
StarCraft Remastered,22.,Finland,$25.00,1 Player
StarCraft Remastered,23.,France,$25.00,1 Player
StarCraft Remastered,24.,Argentina,$0.39,1 Player
StarCraft Remastered,25.,Japan,$0.24,1 Player
StarCraft Remastered,26.,Brazil,$0.12,1 Player
StarCraft Remastered,27.,Greece,$0.12,1 Player
StarCraft Remastered,28.,Hong Kong,$0.08,1 Player
StarCraft Remastered,29.,Ukraine,$0.08,1 Player
