rank,country,earning,players,tournaments
Summoners War Sky Arena,1.,China,"$231,000.00",4 Players
Summoners War Sky Arena,2.,Hong Kong,"$111,000.00",3 Players
Summoners War Sky Arena,3.,Australia,"$101,000.00",2 Players
Summoners War Sky Arena,4.,"Korea, Republic of","$62,000.00",5 Players
Summoners War Sky Arena,5.,United States,"$37,000.00",5 Players
Summoners War Sky Arena,6.,Netherlands,"$30,000.00",1 Player
Summoners War Sky Arena,7.,"Taiwan, Republic of China","$25,000.00",2 Players
Summoners War Sky Arena,8.,Germany,"$11,000.00",2 Players
Summoners War Sky Arena,9.,Canada,"$10,000.00",1 Player
Summoners War Sky Arena,10.,Finland,"$10,000.00",1 Player
Summoners War Sky Arena,11.,France,"$10,000.00",1 Player
Summoners War Sky Arena,12.,United Kingdom,"$10,000.00",1 Player
Summoners War Sky Arena,13.,Japan,"$2,000.00",2 Players
Summoners War Sky Arena,14.,Russian Federation,"$1,000.00",1 Player
Summoners War Sky Arena,15.,Thailand,"$1,000.00",1 Player
