rank,country,earning,players,tournaments
Teamfight Tactics,1.,China,"$2,025,769.50",61 Players
Teamfight Tactics,2.,United States,"$598,800.00",75 Players
Teamfight Tactics,3.,France,"$288,440.48",56 Players
Teamfight Tactics,4.,"Korea, Republic of","$284,607.60",22 Players
Teamfight Tactics,5.,Brazil,"$201,488.66",47 Players
Teamfight Tactics,6.,Japan,"$158,000.00",16 Players
Teamfight Tactics,7.,Argentina,"$107,175.00",15 Players
Teamfight Tactics,8.,Germany,"$105,214.15",40 Players
Teamfight Tactics,9.,Australia,"$99,586.64",17 Players
Teamfight Tactics,10.,Poland,"$78,536.78",30 Players
Teamfight Tactics,11.,Turkey,"$72,724.61",28 Players
Teamfight Tactics,12.,Canada,"$65,175.00",12 Players
Teamfight Tactics,13.,Viet Nam,"$38,675.00",3 Players
Teamfight Tactics,14.,Russian Federation,"$38,259.82",14 Players
Teamfight Tactics,15.,Denmark,"$30,709.88",4 Players
Teamfight Tactics,16.,United Kingdom,"$24,266.62",9 Players
Teamfight Tactics,17.,Spain,"$23,178.32",22 Players
Teamfight Tactics,18.,Colombia,"$20,000.00",2 Players
Teamfight Tactics,19.,Czech Republic,"$17,791.09",5 Players
Teamfight Tactics,20.,Peru,"$14,500.00",2 Players
Teamfight Tactics,21.,Belgium,"$13,709.90",4 Players
Teamfight Tactics,22.,Sweden,"$12,893.56",7 Players
Teamfight Tactics,23.,--UNDEFINED--,"$10,971.33",4 Players
Teamfight Tactics,24.,Mexico,"$10,545.18",5 Players
Teamfight Tactics,25.,Hungary,"$9,801.45",7 Players
Teamfight Tactics,26.,Italy,"$9,530.99",11 Players
Teamfight Tactics,27.,Chile,"$9,175.00",2 Players
Teamfight Tactics,28.,Singapore,"$7,851.84",3 Players
Teamfight Tactics,29.,Bolivia,"$5,000.00",1 Player
Teamfight Tactics,30.,Tunisia,"$5,000.00",1 Player
Teamfight Tactics,31.,Costa Rica,"$4,500.00",1 Player
Teamfight Tactics,32.,"Taiwan, Republic of China","$3,500.00",1 Player
Teamfight Tactics,33.,Finland,"$3,481.24",4 Players
Teamfight Tactics,34.,Netherlands,"$3,325.91",2 Players
Teamfight Tactics,35.,Ukraine,"$2,875.00",2 Players
Teamfight Tactics,36.,Hong Kong,"$2,725.00",1 Player
Teamfight Tactics,37.,Greece,"$1,920.52",7 Players
Teamfight Tactics,38.,Croatia,"$1,889.60",2 Players
Teamfight Tactics,39.,Egypt,"$1,506.27",2 Players
Teamfight Tactics,40.,Morocco,"$1,450.00",1 Player
Teamfight Tactics,41.,Ecuador,"$1,000.00",1 Player
Teamfight Tactics,42.,Portugal,$994.96,4 Players
Teamfight Tactics,43.,Switzerland,$978.02,3 Players
Teamfight Tactics,44.,Romania,$865.36,1 Player
Teamfight Tactics,45.,Paraguay,$750.00,1 Player
Teamfight Tactics,46.,Belarus,$554.47,1 Player
Teamfight Tactics,47.,South Africa,$453.18,1 Player
Teamfight Tactics,48.,Georgia,$432.68,1 Player
Teamfight Tactics,49.,Serbia,$403.03,1 Player
Teamfight Tactics,50.,New Zealand,$309.76,1 Player
Teamfight Tactics,51.,Austria,$113.17,1 Player
Teamfight Tactics,52.,Norway,$97.99,1 Player
Teamfight Tactics,53.,Venezuela,$59.04,1 Player
Teamfight Tactics,54.,Bulgaria,$56.59,1 Player
Teamfight Tactics,55.,Slovakia,$55.73,1 Player
