rank,country,earning,players,tournaments
WarCraft III Reforged,1.,"Korea, Republic of","$586,305.61",25 Players
WarCraft III Reforged,2.,China,"$535,174.40",47 Players
WarCraft III Reforged,3.,Russian Federation,"$259,613.72",17 Players
WarCraft III Reforged,4.,Germany,"$79,732.87",23 Players
WarCraft III Reforged,5.,United States,"$46,332.39",10 Players
WarCraft III Reforged,6.,Ukraine,"$43,715.64",5 Players
WarCraft III Reforged,7.,France,"$31,941.45",17 Players
WarCraft III Reforged,8.,Canada,"$11,623.25",4 Players
WarCraft III Reforged,9.,Spain,"$11,492.48",2 Players
WarCraft III Reforged,10.,"Moldova, Republic of","$6,828.21",1 Player
WarCraft III Reforged,11.,Sweden,"$4,362.50",4 Players
WarCraft III Reforged,12.,Austria,"$3,176.85",3 Players
WarCraft III Reforged,13.,Slovenia,"$2,929.64",1 Player
WarCraft III Reforged,14.,Australia,"$2,306.25",3 Players
WarCraft III Reforged,15.,United Kingdom,"$1,138.60",5 Players
WarCraft III Reforged,16.,Poland,$820.50,3 Players
WarCraft III Reforged,17.,Peru,$625.00,2 Players
WarCraft III Reforged,18.,Finland,$600.00,1 Player
WarCraft III Reforged,19.,Greece,$500.00,1 Player
WarCraft III Reforged,20.,Brazil,$471.26,2 Players
WarCraft III Reforged,21.,Croatia,$400.00,1 Player
WarCraft III Reforged,22.,Netherlands,$325.50,2 Players
WarCraft III Reforged,23.,South Africa,$250.00,1 Player
WarCraft III Reforged,24.,Lithuania,$200.00,1 Player
WarCraft III Reforged,25.,Bulgaria,$28.88,1 Player
WarCraft III Reforged,26.,Singapore,$25.00,1 Player
WarCraft III Reforged,27.,Venezuela,$25.00,1 Player
