rank,country,earning,players,tournaments
WarCraft III,1.,"Korea, Republic of","$2,262,209.92",176 Players
WarCraft III,2.,China,"$1,855,303.66",169 Players
WarCraft III,3.,Germany,"$558,045.53",120 Players
WarCraft III,4.,Netherlands,"$312,373.93",12 Players
WarCraft III,5.,Russian Federation,"$296,801.77",113 Players
WarCraft III,6.,France,"$195,471.52",45 Players
WarCraft III,7.,Sweden,"$176,591.71",40 Players
WarCraft III,8.,United States,"$123,020.19",30 Players
WarCraft III,9.,Ukraine,"$106,307.24",18 Players
WarCraft III,10.,Bulgaria,"$74,890.25",35 Players
WarCraft III,11.,Norway,"$69,167.91",9 Players
WarCraft III,12.,Spain,"$32,399.04",7 Players
WarCraft III,13.,Finland,"$22,876.07",10 Players
WarCraft III,14.,Denmark,"$21,891.04",19 Players
WarCraft III,15.,Croatia,"$20,357.74",3 Players
WarCraft III,16.,United Kingdom,"$19,529.32",11 Players
WarCraft III,17.,Czech Republic,"$18,532.07",31 Players
WarCraft III,18.,Singapore,"$14,813.38",9 Players
WarCraft III,19.,Kazakhstan,"$12,695.06",15 Players
WarCraft III,20.,"Taiwan, Republic of China","$12,580.16",2 Players
WarCraft III,21.,Belarus,"$7,866.78",13 Players
WarCraft III,22.,Lithuania,"$6,995.86",6 Players
WarCraft III,23.,Poland,"$6,435.60",12 Players
WarCraft III,24.,Peru,"$6,147.77",5 Players
WarCraft III,25.,Romania,"$5,587.18",1 Player
WarCraft III,26.,Argentina,"$4,000.00",2 Players
WarCraft III,27.,Brazil,"$4,000.00",8 Players
WarCraft III,28.,Canada,"$3,513.42",6 Players
WarCraft III,29.,Serbia,"$2,620.50",12 Players
WarCraft III,30.,Belgium,"$1,445.05",3 Players
WarCraft III,31.,Mexico,"$1,300.00",1 Player
WarCraft III,32.,Hong Kong,"$1,280.00",3 Players
WarCraft III,33.,Austria,"$1,000.00",1 Player
WarCraft III,34.,Switzerland,"$1,000.00",1 Player
WarCraft III,35.,Slovakia,$910.98,3 Players
WarCraft III,36.,"Moldova, Republic of",$900.85,1 Player
WarCraft III,37.,Australia,$646.56,2 Players
WarCraft III,38.,Greece,$631.00,2 Players
WarCraft III,39.,Indonesia,$570.44,1 Player
WarCraft III,40.,Malaysia,$496.00,3 Players
WarCraft III,41.,Italy,$287.18,1 Player
WarCraft III,42.,Estonia,$150.00,1 Player
WarCraft III,43.,Latvia,$150.00,1 Player
WarCraft III,44.,Ireland,$16.67,1 Player
WarCraft III,45.,Turkey,$13.22,1 Player
WarCraft III,46.,Hungary,$5.50,1 Player
