rank,country,earning,players,tournaments
chess24,1.,Norway,"$907,242.12",3 Players
chess24,2.,United States,"$645,345.94",14 Players
chess24,3.,Russian Federation,"$491,907.20",11 Players
chess24,4.,Netherlands,"$312,928.61",2 Players
chess24,5.,Azerbaijan,"$285,631.50",3 Players
chess24,6.,India,"$284,500.00",10 Players
chess24,7.,China,"$231,125.15",8 Players
chess24,8.,Armenia,"$229,339.30",1 Player
chess24,9.,Poland,"$203,550.00",2 Players
chess24,10.,Viet Nam,"$148,974.29",1 Player
chess24,11.,"Iran, Islamic Republic of","$114,521.30",2 Players
chess24,12.,France,"$92,322.72",2 Players
chess24,13.,Spain,"$36,975.88",3 Players
chess24,14.,Hungary,"$33,500.00",2 Players
chess24,15.,Germany,"$30,441.00",5 Players
chess24,16.,Canada,"$28,500.00",1 Player
chess24,17.,Ukraine,"$14,920.16",2 Players
chess24,18.,Sweden,"$13,500.00",1 Player
chess24,19.,Uzbekistan,"$13,300.00",1 Player
chess24,20.,Czech Republic,"$12,000.00",1 Player
chess24,21.,Argentina,"$11,839.30",1 Player
chess24,22.,Israel,"$9,500.00",1 Player
chess24,23.,United Kingdom,"$8,000.00",1 Player
chess24,24.,Venezuela,"$6,318.63",1 Player
chess24,25.,Croatia,"$3,500.00",1 Player
chess24,26.,United Arab Emirates,"$2,500.00",1 Player
chess24,27.,Kazakhstan,"$1,845.73",1 Player
chess24,28.,Brazil,"$1,818.63",2 Players
chess24,29.,Peru,"$1,591.31",3 Players
chess24,30.,Georgia,$800.00,1 Player
chess24,31.,Bulgaria,$682.00,1 Player
chess24,32.,Paraguay,$454.66,1 Player
