rank,country,earning,players,tournaments
chessarena.com,1.,United States,"$39,524.18",13 Players
chessarena.com,2.,India,"$38,845.18",14 Players
chessarena.com,3.,Russian Federation,"$24,633.04",10 Players
chessarena.com,4.,Germany,"$24,249.04",9 Players
chessarena.com,5.,Uzbekistan,"$20,643.34",2 Players
chessarena.com,6.,Hungary,"$19,465.04",2 Players
chessarena.com,7.,Peru,"$15,895.81",4 Players
chessarena.com,8.,"Iran, Islamic Republic of","$9,550.16",4 Players
chessarena.com,9.,Poland,"$9,217.76",3 Players
chessarena.com,10.,Kazakhstan,"$8,640.00",1 Player
chessarena.com,11.,Cuba,"$6,515.26",2 Players
chessarena.com,12.,Azerbaijan,"$6,090.82",3 Players
chessarena.com,13.,France,"$5,400.00",1 Player
chessarena.com,14.,Netherlands,"$5,400.00",1 Player
chessarena.com,15.,China,"$4,150.76",3 Players
chessarena.com,16.,Canada,"$4,030.43",1 Player
chessarena.com,17.,United Kingdom,"$3,966.30",3 Players
chessarena.com,18.,Georgia,"$3,780.00",1 Player
chessarena.com,19.,Turkey,"$1,717.82",1 Player
chessarena.com,20.,Argentina,"$1,549.79",3 Players
chessarena.com,21.,Spain,"$1,451.53",6 Players
chessarena.com,22.,Armenia,"$1,240.06",2 Players
chessarena.com,23.,Romania,"$1,196.13",3 Players
chessarena.com,24.,Philippines,"$1,059.92",5 Players
chessarena.com,25.,Indonesia,"$1,046.90",2 Players
chessarena.com,26.,Brazil,$714.67,4 Players
chessarena.com,27.,Ecuador,$581.98,4 Players
chessarena.com,28.,Mongolia,$517.92,1 Player
chessarena.com,29.,Algeria,$436.10,1 Player
chessarena.com,30.,Ukraine,$317.78,3 Players
chessarena.com,31.,Malaysia,$291.44,1 Player
chessarena.com,32.,Bangladesh,$210.71,1 Player
chessarena.com,33.,Colombia,$210.71,2 Players
chessarena.com,34.,Greece,$184.88,1 Player
chessarena.com,35.,Mexico,$128.37,2 Players
chessarena.com,36.,Serbia,$77.42,3 Players
chessarena.com,37.,Bulgaria,$74.28,2 Players
chessarena.com,38.,Italy,$52.17,1 Player
chessarena.com,39.,Kyrgyzstan,$51.08,1 Player
chessarena.com,40.,Viet Nam,$50.45,1 Player
chessarena.com,41.,Uganda,$49.66,1 Player
chessarena.com,42.,Bolivia,$26.46,1 Player
chessarena.com,43.,Venezuela,$26.46,1 Player
chessarena.com,44.,Sri Lanka,$26.34,1 Player
chessarena.com,45.,Brunei Darussalam,$25.83,1 Player
chessarena.com,46.,Albania,$25.04,1 Player
chessarena.com,47.,Mozambique,$24.62,1 Player
