rank,country,earning,players,tournaments
Gears of War 4,1.,United States,"$2,175,925.00",79 Players
Gears of War 4,2.,Philippines,"$226,630.00",1 Player
Gears of War 4,3.,Mexico,"$217,980.00",28 Players
Gears of War 4,4.,United Kingdom,"$188,080.00",13 Players
Gears of War 4,5.,Puerto Rico,"$104,860.00",2 Players
Gears of War 4,6.,Canada,"$33,700.00",9 Players
Gears of War 4,7.,France,"$22,600.00",7 Players
Gears of War 4,8.,Australia,"$4,610.00",8 Players
Gears of War 4,9.,Spain,"$4,400.00",6 Players
Gears of War 4,10.,Kuwait,$600.00,1 Player
Gears of War 4,11.,New Zealand,$500.00,1 Player
