game,rank,country,earning,players
After-H,1.,France,"$44,880.51",93 Players
After-H,2.,United States,"$1,298.62",1 Player
Aim Gods,1.,Canada,"$250,000.00",2 Players
Aliens versus Predator 2,1.,United States,"$43,500.00",2 Players
Archangel Hellfire,1.,United States,"$4,550.00",9 Players
Archangel Hellfire,2.,United Kingdom,$350.00,2 Players
Archangel Hellfire,3.,Canada,$250.00,1 Player
Archangel Hellfire,4.,Singapore,$250.00,1 Player
Archangel Hellfire,5.,Poland,$100.00,1 Player
Battalion 1944,1.,United States,"$54,333.30",45 Players
Battalion 1944,2.,United Kingdom,"$27,630.59",16 Players
Battalion 1944,3.,Finland,"$27,146.09",6 Players
Battalion 1944,4.,Netherlands,"$24,304.78",16 Players
Battalion 1944,5.,Canada,"$14,316.66",7 Players
Battalion 1944,6.,Bosnia and Herzegovina,"$12,028.92",2 Players
Battalion 1944,7.,Germany,"$11,919.51",6 Players
Battalion 1944,8.,Hungary,"$6,910.89",3 Players
Battalion 1944,9.,Sweden,"$5,502.44",4 Players
Battalion 1944,10.,Belgium,"$4,046.24",3 Players
Battalion 1944,11.,France,"$3,551.04",5 Players
Battalion 1944,12.,Czech Republic,"$2,902.68",7 Players
Battalion 1944,13.,Croatia,"$2,303.63",1 Player
Battalion 1944,14.,Malta,"$1,228.55",10 Players
Battalion 1944,15.,Ukraine,"$1,121.01",1 Player
Battalion 1944,16.,Poland,$467.48,1 Player
Battalion 1944,17.,Portugal,$200.00,1 Player
Battalion 1944,18.,Ireland,$150.00,1 Player
Battlefield 3,1.,Netherlands,"$1,422.18",2 Players
Battlefield 3,2.,Estonia,$711.09,1 Player
Battlefield 3,3.,Spain,$711.09,1 Player
Battlefield 3,4.,Russian Federation,$711.09,1 Player
Battlefield 4,1.,France,"$42,107.00",24 Players
Battlefield 4,2.,Netherlands,"$40,148.57",8 Players
Battlefield 4,3.,Sweden,"$20,728.95",11 Players
Battlefield 4,4.,South Africa,"$18,838.25",65 Players
Battlefield 4,5.,Russian Federation,"$18,578.22",2 Players
Battlefield 4,6.,Estonia,"$17,496.59",1 Player
Battlefield 4,7.,Brazil,"$15,434.25",15 Players
Battlefield 4,8.,Hungary,"$10,543.39",3 Players
Battlefield 4,9.,Belgium,"$10,008.25",3 Players
Battlefield 4,10.,Finland,"$5,675.72",4 Players
Battlefield 4,11.,Denmark,"$5,470.30",2 Players
Battlefield 4,12.,United Kingdom,"$5,422.85",16 Players
Battlefield 4,13.,Germany,"$4,557.74",18 Players
Battlefield 4,14.,Portugal,"$4,217.96",1 Player
Battlefield 4,15.,Poland,"$3,439.29",4 Players
Battlefield 4,16.,Japan,"$2,658.95",16 Players
Battlefield 4,17.,Norway,"$2,443.41",1 Player
Battlefield 4,18.,Spain,"$2,273.08",1 Player
Battlefield 4,19.,Switzerland,$854.22,2 Players
Battlefield 4,20.,United States,$800.00,4 Players
Battlefield 4,21.,"Korea, Republic of",$200.00,1 Player
Battlefield 4,22.,Italy,$130.95,1 Player
Battlefield 4,23.,Serbia,$21.48,1 Player
Battlefield Hardline,1.,France,"$5,834.10",12 Players
Battlefield Hardline,2.,Sweden,"$2,356.08",3 Players
Battlefield Hardline,3.,Netherlands,"$2,243.88",2 Players
Battlefield Hardline,4.,Estonia,"$1,121.94",1 Player
Battlefield Hardline,5.,Russian Federation,"$1,121.94",1 Player
Battlefield Hardline,6.,Poland,$785.36,1 Player
Beat Aim,1.,United States,$220.00,5 Players
Beat Aim,2.,Germany,$120.00,3 Players
Beat Aim,3.,Poland,$80.00,3 Players
Beat Aim,4.,Turkey,$10.00,1 Player
Big Buck Hunter Arcade,1.,United States,"$33,000.00",3 Players
Black Squad,1.,Russian Federation,"$1,689.79",5 Players
Black Squad,2.,Germany,"$1,329.26",16 Players
Black Squad,3.,Finland,"$1,308.53",7 Players
Black Squad,4.,Netherlands,$875.58,3 Players
Black Squad,5.,Ukraine,$810.69,2 Players
Black Squad,6.,Austria,$696.00,1 Player
Black Squad,7.,Morocco,$582.54,1 Player
Black Squad,8.,Turkey,$238.69,6 Players
Black Squad,9.,France,$232.96,2 Players
Black Squad,10.,Estonia,$182.01,1 Player
Black Squad,11.,Sweden,$170.94,3 Players
Black Squad,12.,Kazakhstan,$148.94,1 Player
Black Squad,13.,Poland,$68.20,4 Players
Black Squad,14.,Lithuania,$65.92,1 Player
Black Squad,15.,Israel,$31.74,1 Player
Black Squad,16.,Italy,$17.29,1 Player
Black Squad,17.,Brazil,$17.17,1 Player
Black Squad,18.,United Kingdom,$14.46,1 Player
Blaston,1.,United States,"$12,524.40",12 Players
Blaston,2.,United Kingdom,"$5,479.46",6 Players
Blaston,3.,Romania,$480.60,1 Player
Blaston,4.,New Zealand,$325.00,1 Player
Blaston,5.,Canada,$215.00,1 Player
Blaston,6.,Italy,$119.93,2 Players
Blaston,7.,Germany,$88.67,2 Players
Blaston,8.,Russian Federation,$60.00,1 Player
Blaston,9.,Philippines,$50.00,1 Player
Borderlands 3,1.,United Kingdom,"$25,125.00",7 Players
Borderlands 3,2.,United States,"$24,875.00",9 Players
Call of Duty,1.,United States,"$36,333.31",46 Players
Call of Duty,2.,Canada,"$5,416.66",5 Players
Call of Duty,3.,Czech Republic,"$2,919.00",14 Players
Call of Duty,4.,Ukraine,$417.00,1 Player
Call of Duty 2,1.,United States,"$7,800.00",9 Players
Call of Duty 2,2.,Netherlands,"$6,739.48",7 Players
Call of Duty 2,3.,Germany,"$5,920.51",7 Players
Call of Duty 2,4.,Belgium,"$4,058.20",7 Players
Call of Duty 2,5.,France,"$2,543.56",1 Player
Call of Duty 2,6.,Canada,"$1,200.00",1 Player
Call of Duty 2,7.,Malta,"$1,073.94",6 Players
Call of Duty 2,8.,Finland,"$1,014.30",10 Players
Call of Duty 2,9.,United Kingdom,$418.20,5 Players
Call of Duty 4 Modern Warfare,1.,United Kingdom,"$105,189.12",151 Players
Call of Duty 4 Modern Warfare,2.,United States,"$61,552.69",39 Players
Call of Duty 4 Modern Warfare,3.,Netherlands,"$42,483.77",36 Players
Call of Duty 4 Modern Warfare,4.,Sweden,"$28,990.46",16 Players
Call of Duty 4 Modern Warfare,5.,Canada,"$18,656.36",4 Players
Call of Duty 4 Modern Warfare,6.,Belgium,"$13,667.54",4 Players
Call of Duty 4 Modern Warfare,7.,Germany,"$11,777.96",73 Players
Call of Duty 4 Modern Warfare,8.,Malta,"$9,199.68",23 Players
Call of Duty 4 Modern Warfare,9.,Czech Republic,"$8,338.61",11 Players
Call of Duty 4 Modern Warfare,10.,Norway,"$7,091.13",3 Players
Call of Duty 4 Modern Warfare,11.,Finland,"$6,285.02",24 Players
Call of Duty 4 Modern Warfare,12.,Hungary,"$3,092.61",6 Players
Call of Duty 4 Modern Warfare,13.,Spain,"$2,457.80",5 Players
Call of Duty 4 Modern Warfare,14.,Denmark,"$1,118.80",7 Players
Call of Duty 4 Modern Warfare,15.,Austria,"$1,013.32",3 Players
Call of Duty 4 Modern Warfare,16.,Argentina,$765.80,10 Players
Call of Duty 4 Modern Warfare,17.,Ireland,$744.60,4 Players
Call of Duty 4 Modern Warfare,18.,Slovenia,$627.30,1 Player
Call of Duty 4 Modern Warfare,19.,Estonia,$583.90,1 Player
Call of Duty 4 Modern Warfare,20.,Italy,$503.05,2 Players
Call of Duty 4 Modern Warfare,21.,Switzerland,$427.86,2 Players
Call of Duty 4 Modern Warfare,22.,Turkey,$402.40,2 Players
Call of Duty 4 Modern Warfare,23.,Bosnia and Herzegovina,$319.95,1 Player
Call of Duty 4 Modern Warfare,24.,Poland,$290.16,2 Players
Call of Duty 4 Modern Warfare,25.,Slovakia,$124.53,1 Player
Call of Duty 4 Modern Warfare,26.,South Africa,$106.97,1 Player
Call of Duty 4 Modern Warfare,27.,France,$99.23,1 Player
Call of Duty 4 Modern Warfare,28.,Russian Federation,$79.73,1 Player
Call of Duty 4 Modern Warfare,29.,Morocco,$13.93,1 Player
Call of Duty 4 Modern Warfare,30.,Serbia,$9.55,1 Player
Call of Duty Advanced Warfare,1.,United States,"$2,072,853.35",247 Players
Call of Duty Advanced Warfare,2.,United Kingdom,"$165,776.74",159 Players
Call of Duty Advanced Warfare,3.,Canada,"$98,465.30",12 Players
Call of Duty Advanced Warfare,4.,Australia,"$78,187.84",37 Players
Call of Duty Advanced Warfare,5.,France,"$36,154.35",60 Players
Call of Duty Advanced Warfare,6.,Saudi Arabia,"$35,632.25",1 Player
Call of Duty Advanced Warfare,7.,Spain,"$21,495.64",56 Players
Call of Duty Advanced Warfare,8.,Ireland,"$13,276.90",10 Players
Call of Duty Advanced Warfare,9.,South Africa,"$9,516.34",50 Players
Call of Duty Advanced Warfare,10.,Belgium,"$8,526.28",12 Players
Call of Duty Advanced Warfare,11.,Finland,"$4,971.36",6 Players
Call of Duty Advanced Warfare,12.,Brazil,"$4,500.00",12 Players
Call of Duty Advanced Warfare,13.,Germany,"$3,698.99",68 Players
Call of Duty Advanced Warfare,14.,Sweden,"$3,229.26",6 Players
Call of Duty Advanced Warfare,15.,New Zealand,"$2,958.16",6 Players
Call of Duty Advanced Warfare,16.,Bulgaria,"$1,782.94",2 Players
Call of Duty Advanced Warfare,17.,Netherlands,"$1,609.49",6 Players
Call of Duty Advanced Warfare,18.,Norway,$827.91,6 Players
Call of Duty Advanced Warfare,19.,Singapore,$679.63,7 Players
Call of Duty Advanced Warfare,20.,Switzerland,$678.51,2 Players
Call of Duty Advanced Warfare,21.,Denmark,$657.19,4 Players
Call of Duty Advanced Warfare,22.,Italy,$404.29,9 Players
Call of Duty Advanced Warfare,23.,Austria,$163.98,3 Players
Call of Duty Advanced Warfare,24.,"Korea, Republic of",$97.09,1 Player
Call of Duty Advanced Warfare,25.,Liechtenstein,$28.47,1 Player
Call of Duty Black Ops,1.,United States,"$302,375.01",64 Players
Call of Duty Black Ops,2.,United Kingdom,"$22,844.07",37 Players
Call of Duty Black Ops,3.,Canada,"$11,500.00",2 Players
Call of Duty Black Ops,4.,France,"$6,236.25",8 Players
Call of Duty Black Ops,5.,Netherlands,"$4,110.42",9 Players
Call of Duty Black Ops,6.,Belgium,"$1,031.75",1 Player
Call of Duty Black Ops,7.,Ireland,$262.06,1 Player
Call of Duty Black Ops 2,1.,United States,"$1,058,289.30",46 Players
Call of Duty Black Ops 2,2.,Canada,"$174,676.04",4 Players
Call of Duty Black Ops 2,3.,United Kingdom,"$98,252.62",34 Players
Call of Duty Black Ops 2,4.,Ireland,"$49,735.62",3 Players
Call of Duty Black Ops 2,5.,Italy,"$24,825.53",22 Players
Call of Duty Black Ops 2,6.,France,"$24,250.33",25 Players
Call of Duty Black Ops 2,7.,Spain,"$5,210.42",19 Players
Call of Duty Black Ops 2,8.,Netherlands,"$4,422.82",8 Players
Call of Duty Black Ops 2,9.,Germany,"$3,498.87",8 Players
Call of Duty Black Ops 2,10.,Greece,"$3,252.40",10 Players
Call of Duty Black Ops 2,11.,Belgium,"$1,523.03",1 Player
Call of Duty Black Ops 2,12.,Austria,$485.84,1 Player
Call of Duty Black Ops 2,13.,Sweden,$200.00,4 Players
Call of Duty Black Ops 2,14.,Morocco,$139.97,1 Player
Call of Duty Black Ops 2,15.,Bulgaria,$135.42,1 Player
Call of Duty Black Ops 4,1.,United States,"$4,752,234.52",212 Players
Call of Duty Black Ops 4,2.,United Kingdom,"$890,897.39",70 Players
Call of Duty Black Ops 4,3.,Canada,"$366,045.86",25 Players
Call of Duty Black Ops 4,4.,Spain,"$172,372.10",38 Players
Call of Duty Black Ops 4,5.,Australia,"$118,517.33",43 Players
Call of Duty Black Ops 4,6.,Japan,"$96,147.00",20 Players
Call of Duty Black Ops 4,7.,France,"$86,136.95",29 Players
Call of Duty Black Ops 4,8.,Afghanistan,"$73,870.60",1 Player
Call of Duty Black Ops 4,9.,Ireland,"$54,125.00",1 Player
Call of Duty Black Ops 4,10.,Saudi Arabia,"$35,070.00",1 Player
Call of Duty Black Ops 4,11.,Italy,"$24,212.50",6 Players
Call of Duty Black Ops 4,12.,Germany,"$10,200.00",5 Players
Call of Duty Black Ops 4,13.,Denmark,"$8,700.00",1 Player
Call of Duty Black Ops 4,14.,Singapore,"$5,600.00",4 Players
Call of Duty Black Ops 4,15.,Malaysia,"$4,800.00",2 Players
Call of Duty Black Ops 4,16.,South Africa,"$3,250.00",15 Players
Call of Duty Black Ops 4,17.,Philippines,"$2,400.00",1 Player
Call of Duty Black Ops 4,18.,Belgium,$850.00,2 Players
Call of Duty Black Ops 4,19.,New Zealand,$688.50,2 Players
Call of Duty Black Ops 4,20.,Portugal,$567.80,5 Players
