rank,country,earning,players,tournaments
Acceleration of SUGURI 2,1.,United States,$410.00,8 Players
Akatsuki Blitzkampf,1.,United States,$20.00,3 Players
Aquapazza Aquaplus Dream Match,1.,United States,$128.50,2 Players
Aquapazza Aquaplus Dream Match,2.,Japan,$116.50,3 Players
Arcana Heart 3,1.,United States,$950.00,3 Players
Arcana Heart 3,2.,Japan,$50.00,1 Player
Arcana Heart 3 Love Max Six Stars!!!!!,1.,United States,$464.00,6 Players
Arcana Heart 3 Love Max Six Stars!!!!!,2.,Japan,$106.00,2 Players
Arcana Heart 3 LOVE MAX!!!!!,1.,United States,$284.00,5 Players
Arcana Heart 3 LOVE MAX!!!!!,2.,Japan,$126.00,1 Player
ARMS,1.,United States,"$12,811.00",74 Players
ARMS,2.,Japan,"$3,539.52",7 Players
ARMS,3.,Canada,"$2,076.48",10 Players
ARMS,4.,United Kingdom,"$1,250.08",8 Players
ARMS,5.,Germany,"$1,239.65",7 Players
ARMS,6.,China,$559.49,4 Players
ARMS,7.,Pakistan,$305.00,1 Player
ARMS,8.,Sweden,$227.90,3 Players
ARMS,9.,Portugal,$146.00,1 Player
ARMS,10.,France,$124.50,4 Players
ARMS,11.,Ireland,$104.02,3 Players
ARMS,12.,Netherlands,$40.00,2 Players
ARMS,13.,Austria,$31.46,1 Player
ARMS,14.,Norway,$24.80,1 Player
ARMS,15.,Malaysia,$24.00,1 Player
ARMS,16.,Honduras,$23.00,1 Player
ARMS,17.,Russian Federation,$3.00,1 Player
Asuka 120% LimitOver BURNING Fest.,1.,France,$10.00,3 Players
Attack on Titan Tribute Game,1.,Australia,"$35,100.00",3 Players
Attack on Titan Tribute Game,2.,United States,"$20,350.00",10 Players
Attack on Titan Tribute Game,3.,Finland,"$10,000.00",1 Player
Attack on Titan Tribute Game,4.,Brazil,"$6,050.00",2 Players
Attack on Titan Tribute Game,5.,New Zealand,"$1,400.00",1 Player
Attack on Titan Tribute Game,6.,France,$500.00,1 Player
Attack on Titan Tribute Game,7.,Russian Federation,$200.00,1 Player
Attack on Titan Tribute Game,8.,Sweden,$50.00,1 Player
BlazBlue Calamity Trigger,1.,United States,$35.00,3 Players
BlazBlue Central Fiction,1.,Japan,"$55,217.50",19 Players
BlazBlue Central Fiction,2.,United States,"$30,599.27",71 Players
BlazBlue Central Fiction,3.,Canada,"$3,033.31",17 Players
BlazBlue Central Fiction,4.,United Kingdom,$464.20,1 Player
BlazBlue Central Fiction,5.,Brazil,$216.24,4 Players
BlazBlue Central Fiction,6.,Spain,$47.09,1 Player
BlazBlue Central Fiction,7.,Puerto Rico,$25.60,1 Player
BlazBlue Chronophantasma,1.,Japan,"$35,027.31",8 Players
BlazBlue Chronophantasma,2.,United States,"$1,282.30",51 Players
BlazBlue Chronophantasma,3.,Puerto Rico,$583.50,1 Player
BlazBlue Chronophantasma,4.,Spain,$127.47,2 Players
BlazBlue Chronophantasma,5.,Canada,$0.00,1 Player
BlazBlue Chronophantasma Extend,1.,United States,"$4,464.73",17 Players
BlazBlue Chronophantasma Extend,2.,Australia,$334.56,3 Players
BlazBlue Chronophantasma Extend,3.,Canada,$119.48,5 Players
BlazBlue Chronophantasma Extend,4.,Japan,$0.00,3 Players
BlazBlue Continuum Shift Extend,1.,Canada,$0.00,1 Player
BlazBlue Continuum Shift Extend,2.,United States,$0.00,2 Players
BlazBlue Continuum Shift II,1.,United States,"$4,623.00",8 Players
BlazBlue Continuum Shift II,2.,Japan,"$2,847.00",3 Players
BlazBlue Continuum Shift II,3.,Canada,$121.43,3 Players
BlazBlue Cross Tag Battle,1.,United States,"$52,863.79",89 Players
BlazBlue Cross Tag Battle,2.,Japan,"$42,514.71",24 Players
BlazBlue Cross Tag Battle,3.,Canada,"$1,875.82",14 Players
BlazBlue Cross Tag Battle,4.,Costa Rica,$175.20,1 Player
BlazBlue Cross Tag Battle,5.,Bahrain,$156.96,1 Player
BlazBlue Cross Tag Battle,6.,Australia,$152.00,1 Player
