rank,country,earning,players,tournaments
Catherine,1.,United States,"$1,443.00",10 Players
Catherine,2.,Australia,$102.00,1 Player
Catherine Full Body,1.,United States,$148.00,2 Players
Catherine Full Body,2.,Japan,$37.00,1 Player
Cultris II,1.,Mexico,$100.50,1 Player
Cultris II,2.,"Taiwan, Republic of China",$50.25,1 Player
Cultris II,3.,Norway,$40.20,1 Player
Jstris,1.,United States,$191.75,5 Players
Jstris,2.,Malaysia,$38.50,2 Players
Jstris,3.,Philippines,$15.00,1 Player
Jstris,4.,New Zealand,$13.00,2 Players
Jstris,5.,Hong Kong,$9.75,1 Player
Jstris,6.,"Taiwan, Republic of China",$7.00,1 Player
Magical Drop III,1.,United States,$130.00,3 Players
Microsoft Excel,1.,India,$600.00,2 Players
Microsoft Excel,2.,United States,$600.00,1 Player
Microsoft Excel,3.,Latvia,$550.00,3 Players
Microsoft Excel,4.,Malaysia,$300.00,2 Players
Microsoft Excel,5.,United Kingdom,$250.00,2 Players
Microsoft Excel,6.,Netherlands,$200.00,1 Player
Microsoft Excel,7.,New Zealand,$200.00,1 Player
Microsoft Excel,8.,Colombia,$150.00,1 Player
Microsoft Excel,9.,Australia,$100.00,1 Player
Microsoft Excel,10.,Poland,$100.00,1 Player
Microsoft Excel,11.,Ukraine,$100.00,1 Player
Microsoft Excel,12.,Germany,$50.00,1 Player
Panel Attack,1.,United States,$112.00,3 Players
Panel Attack,2.,Brazil,$24.00,1 Player
Panel Attack,3.,France,$4.00,1 Player
Puyo Puyo Champions,1.,Japan,"$1,462.60",3 Players
Puyo Puyo Champions,2.,France,$454.20,2 Players
Puyo Puyo Champions,3.,United States,$322.25,7 Players
Puyo Puyo Champions,4.,"Korea, Republic of",$198.25,1 Player
Puyo Puyo Champions,5.,"Taiwan, Republic of China",$45.00,1 Player
Puyo Puyo Tetris,1.,United States,"$1,672.83",15 Players
Puyo Puyo Tetris,2.,Canada,$562.75,9 Players
Puyo Puyo Tetris,3.,Japan,$541.28,3 Players
Puyo Puyo Tetris,4.,France,$400.72,1 Player
Puyo Puyo Tetris,5.,"Korea, Republic of",$190.82,2 Players
Puyo Puyo Tetris,6.,"Taiwan, Republic of China",$54.44,1 Player
Puyo Puyo Tetris 2,1.,United States,$867.03,9 Players
Puyo Puyo Tetris 2,2.,"Korea, Republic of",$28.99,1 Player
Tetr.io,1.,United States,"$3,802.72",15 Players
Tetr.io,2.,Japan,$527.63,2 Players
Tetr.io,3.,Malaysia,$508.23,2 Players
Tetr.io,4.,"Taiwan, Republic of China",$178.75,2 Players
Tetr.io,5.,France,$130.22,1 Player
Tetr.io,6.,Hong Kong,$68.65,1 Player
Tetr.io,7.,Australia,$33.55,1 Player
Tetr.io,8.,Mexico,$18.30,1 Player
Tetr.io,9.,Sweden,$12.20,1 Player
Tetr.io,10.,Saint Barthélemy,$7.63,1 Player
Tetris,1.,United States,"$56,416.43",77 Players
Tetris,2.,Japan,"$2,375.00",2 Players
Tetris,3.,Indonesia,"$1,526.06",1 Player
Tetris,4.,Netherlands,"$1,376.50",1 Player
Tetris,5.,United Kingdom,"$1,050.00",4 Players
Tetris,6.,Canada,$661.25,4 Players
Tetris,7.,Mexico,$650.00,2 Players
Tetris,8.,Germany,$550.00,2 Players
Tetris,9.,Finland,$250.00,1 Player
Tetris,10.,"Korea, Republic of",$250.00,1 Player
Tetris,11.,Portugal,$250.00,1 Player
Tetris,12.,Austria,$150.00,1 Player
Tetris,13.,Costa Rica,$150.00,1 Player
Tetris,14.,Sweden,$100.00,1 Player
Tetris,15.,Belgium,$50.00,1 Player
Tetris,16.,Romania,$22.76,1 Player
Tetris Effect Connected,1.,United States,"$1,732.83",10 Players
Tetris Effect Connected,2.,France,$155.59,1 Player
Tetris Effect Connected,3.,Japan,$46.49,1 Player
Tetris Ultimate,1.,Canada,$170.00,1 Player
Tetris Ultimate,2.,United States,$51.00,2 Players
Twinkle Star Sprites,1.,United States,$135.00,3 Players
Twinkle Star Sprites,2.,Mexico,$15.00,1 Player
Wise Star 2,1.,Italy,"$7,000.00",1 Player
Wise Star 2,2.,France,"$3,000.00",1 Player
Wise Star 2,3.,United States,"$2,000.00",1 Player
