rank,country,earning,players,tournaments
Blade & Soul,1.,"Korea, Republic of","$258,782.95",21 Players
Blade & Soul,2.,China,"$150,149.61",16 Players
Blade & Soul,3.,Russian Federation,"$62,924.13",7 Players
Blade & Soul,4.,"Taiwan, Republic of China","$50,928.13",17 Players
Blade & Soul,5.,Japan,"$43,916.80",15 Players
Blade & Soul,6.,Viet Nam,"$20,674.77",8 Players
Blade & Soul,7.,Thailand,"$20,017.35",7 Players
Blade & Soul,8.,United States,"$16,675.83",8 Players
Blade & Soul,9.,Sweden,"$7,662.66",3 Players
Cave Digger 2,1.,Germany,$400.00,1 Player
Cave Digger 2,2.,United States,$300.00,2 Players
Cave Digger 2,3.,Spain,$50.00,1 Player
Guild Wars 2,1.,United States,"$161,799.53",61 Players
Guild Wars 2,2.,Sweden,"$61,503.04",5 Players
Guild Wars 2,3.,Germany,"$44,151.44",22 Players
Guild Wars 2,4.,Slovakia,"$28,356.56",3 Players
Guild Wars 2,5.,France,"$27,167.71",12 Players
Guild Wars 2,6.,Canada,"$25,900.00",6 Players
Guild Wars 2,7.,Finland,"$22,016.36",6 Players
Guild Wars 2,8.,United Kingdom,"$20,636.08",4 Players
Guild Wars 2,9.,Belgium,"$18,383.03",2 Players
Guild Wars 2,10.,Lithuania,"$17,426.74",1 Player
Guild Wars 2,11.,China,"$15,000.00",17 Players
Guild Wars 2,12.,Austria,"$5,243.27",4 Players
Guild Wars 2,13.,Netherlands,"$4,358.11",3 Players
Guild Wars 2,14.,Spain,"$1,416.67",2 Players
Guild Wars 2,15.,Israel,"$1,086.55",1 Player
Guild Wars 2,16.,Saudi Arabia,$818.83,1 Player
Guild Wars 2,17.,Switzerland,$750.00,1 Player
Guild Wars 2,18.,Hungary,$750.00,1 Player
Naraka Bladepoint,1.,China,"$2,447,534.20",101 Players
Naraka Bladepoint,2.,Viet Nam,"$108,386.44",29 Players
Naraka Bladepoint,3.,Thailand,"$18,733.34",9 Players
Naraka Bladepoint,4.,Philippines,"$6,466.67",5 Players
Naraka Bladepoint,5.,United States,"$2,333.34",2 Players
Naraka Bladepoint,6.,Jamaica,"$1,166.67",1 Player
Naraka Bladepoint,7.,Malaysia,$250.00,1 Player
Old School Runescape,1.,United Kingdom,"$184,563.70",27 Players
Old School Runescape,2.,United States,"$106,805.00",40 Players
Old School Runescape,3.,Finland,"$86,500.02",13 Players
Old School Runescape,4.,Australia,"$21,250.00",1 Player
Old School Runescape,5.,India,"$18,115.50",1 Player
Old School Runescape,6.,New Zealand,"$11,250.00",1 Player
Old School Runescape,7.,Slovenia,"$7,500.00",1 Player
Old School Runescape,8.,Sweden,"$3,520.00",2 Players
Old School Runescape,9.,Canada,"$2,250.00",2 Players
Old School Runescape,10.,Netherlands,"$1,000.00",1 Player
Red Stone,1.,"Korea, Republic of","$34,000.00",4 Players
Red Stone,2.,Japan,"$21,000.00",4 Players
Red Stone,3.,United States,"$3,000.00",4 Players
Stardew Valley,1.,United States,"$82,250.00",45 Players
Stardew Valley,2.,France,"$8,100.00",4 Players
Stardew Valley,3.,Poland,"$5,350.00",5 Players
Stardew Valley,4.,Germany,"$1,050.00",5 Players
Stardew Valley,5.,New Zealand,$675.00,2 Players
Stardew Valley,6.,Canada,$250.00,1 Player
Stardew Valley,7.,Sweden,$100.00,4 Players
Stardew Valley,8.,Austria,$25.00,1 Player
Stardew Valley,9.,Switzerland,$25.00,1 Player
Stardew Valley,10.,United Kingdom,$25.00,1 Player
World of WarCraft,1.,United States,"$2,388,937.48",151 Players
World of WarCraft,2.,Germany,"$709,171.89",32 Players
World of WarCraft,3.,Sweden,"$701,697.68",23 Players
World of WarCraft,4.,Canada,"$538,991.69",10 Players
World of WarCraft,5.,United Kingdom,"$447,063.47",21 Players
World of WarCraft,6.,"Korea, Republic of","$405,333.35",51 Players
World of WarCraft,7.,France,"$370,508.33",24 Players
World of WarCraft,8.,Australia,"$350,927.50",41 Players
World of WarCraft,9.,Denmark,"$239,308.27",11 Players
World of WarCraft,10.,New Zealand,"$177,291.67",2 Players
World of WarCraft,11.,Italy,"$145,387.44",1 Player
World of WarCraft,12.,Spain,"$138,600.00",9 Players
World of WarCraft,13.,Slovakia,"$134,550.00",1 Player
World of WarCraft,14.,Finland,"$127,153.57",4 Players
World of WarCraft,15.,Russian Federation,"$123,449.19",8 Players
World of WarCraft,16.,China,"$116,333.32",30 Players
World of WarCraft,17.,Norway,"$115,383.27",4 Players
World of WarCraft,18.,Netherlands,"$55,366.66",5 Players
World of WarCraft,19.,Morocco,"$45,000.00",1 Player
World of WarCraft,20.,Romania,"$44,150.00",1 Player
World of WarCraft,21.,Croatia,"$36,533.33",1 Player
World of WarCraft,22.,"Taiwan, Republic of China","$29,400.01",19 Players
World of WarCraft,23.,Belarus,"$28,783.32",1 Player
World of WarCraft,24.,Brazil,"$23,583.32",11 Players
World of WarCraft,25.,Mexico,"$20,941.67",1 Player
World of WarCraft,26.,Austria,"$18,850.00",5 Players
World of WarCraft,27.,Belgium,"$16,903.57",2 Players
World of WarCraft,28.,Bulgaria,"$15,033.34",4 Players
World of WarCraft,29.,Guatemala,"$13,750.00",1 Player
World of WarCraft,30.,Chile,"$13,500.00",3 Players
World of WarCraft,31.,Hungary,"$9,500.00",2 Players
World of WarCraft,32.,Czech Republic,"$5,400.00",1 Player
World of WarCraft,33.,Iceland,"$5,000.00",1 Player
World of WarCraft,34.,--UNDEFINED--,"$1,100.00",4 Players
World of WarCraft,35.,Ukraine,$37.10,1 Player
