rank,country,earning,players,tournaments
Carom 3D,1.,Brazil,"$30,500.00",6 Players
Carom 3D,2.,"Korea, Republic of","$18,000.00",2 Players
Carom 3D,3.,Bulgaria,"$5,000.00",1 Player
Carom 3D,4.,Italy,"$5,000.00",1 Player
Carom 3D,5.,Germany,"$2,000.00",1 Player
Echo Arena,1.,United States,"$87,914.10",42 Players
Echo Arena,2.,United Kingdom,"$38,484.82",38 Players
Echo Arena,3.,Germany,"$29,214.71",4 Players
Echo Arena,4.,Canada,"$22,242.29",5 Players
Echo Arena,5.,Australia,"$3,583.30",18 Players
Echo Arena,6.,Norway,"$3,479.79",2 Players
Echo Arena,7.,Jersey,"$3,453.33",1 Player
Echo Arena,8.,Netherlands,"$2,706.45",2 Players
Echo Arena,9.,Finland,"$1,791.20",2 Players
Echo Arena,10.,Japan,$266.68,4 Players
Echo Arena,11.,Spain,$223.33,2 Players
Echo Arena,12.,New Zealand,$141.67,2 Players
Echo Arena,13.,Thailand,$66.67,1 Player
Echo Arena,14.,Denmark,$64.00,1 Player
Echo Arena,15.,France,$50.00,1 Player
Echo Arena,16.,Hungary,$50.00,1 Player
eFootball,1.,Brazil,"$112,500.00",14 Players
eFootball,2.,Indonesia,"$80,000.00",7 Players
eFootball,3.,Japan,"$70,000.00",6 Players
eFootball,4.,Argentina,"$59,000.00",3 Players
eFootball,5.,Italy,"$41,500.00",8 Players
eFootball,6.,Germany,"$19,000.00",3 Players
eFootball,7.,Turkey,"$19,000.00",2 Players
eFootball,8.,Spain,"$18,000.00",3 Players
eFootball,9.,Russian Federation,"$15,000.00",1 Player
eFootball,10.,Israel,"$10,000.00",1 Player
eFootball,11.,Malaysia,"$9,000.00",2 Players
eFootball,12.,United Arab Emirates,"$7,500.00",1 Player
eFootball,13.,Senegal,"$7,500.00",1 Player
eFootball,14.,Jordan,"$4,000.00",2 Players
eFootball,15.,Mexico,"$3,000.00",2 Players
eFootball,16.,France,"$2,000.00",1 Player
eFootball,17.,Portugal,"$2,000.00",2 Players
eFootball,18.,India,"$1,000.00",1 Player
eFootball,19.,Netherlands,"$1,000.00",1 Player
eFootball,20.,Tunisia,"$1,000.00",1 Player
FIFA 03,1.,Germany,"$37,844.41",5 Players
FIFA 03,2.,"Korea, Republic of","$5,000.00",1 Player
FIFA 03,3.,Netherlands,"$5,000.00",2 Players
FIFA 03,4.,Spain,"$4,222.03",2 Players
FIFA 03,5.,Italy,"$2,000.00",2 Players
FIFA 04,1.,"Korea, Republic of","$25,000.00",1 Player
FIFA 04,2.,Brazil,"$10,000.00",1 Player
FIFA 04,3.,Germany,"$5,000.00",1 Player
FIFA 05,1.,Germany,"$20,000.00",2 Players
FIFA 05,2.,Russian Federation,"$10,000.00",1 Player
FIFA 05,3.,Spain,"$5,000.00",2 Players
FIFA 06,1.,Germany,"$30,761.56",8 Players
FIFA 06,2.,United Kingdom,"$20,000.00",1 Player
FIFA 06,3.,Russian Federation,"$11,694.54",12 Players
FIFA 06,4.,Romania,"$8,000.00",1 Player
FIFA 06,5.,Hungary,"$5,000.00",1 Player
FIFA 06,6.,Peru,"$1,700.00",2 Players
FIFA 07,1.,Germany,"$60,090.52",17 Players
FIFA 07,2.,Canada,"$55,500.00",3 Players
FIFA 07,3.,Netherlands,"$20,000.00",1 Player
FIFA 07,4.,United States,"$16,000.00",1 Player
FIFA 07,5.,Ukraine,"$15,327.19",3 Players
FIFA 07,6.,United Kingdom,"$10,000.00",2 Players
FIFA 07,7.,Spain,"$9,663.59",1 Player
FIFA 07,8.,Austria,"$8,931.66",1 Player
FIFA 07,9.,Russian Federation,"$6,600.00",7 Players
FIFA 07,10.,Bulgaria,"$4,000.00",1 Player
FIFA 07,11.,Peru,"$3,000.00",1 Player
FIFA 07,12.,Singapore,"$3,000.00",1 Player
FIFA 07,13.,Australia,"$1,500.00",1 Player
FIFA 07,14.,"Korea, Republic of","$1,500.00",1 Player
FIFA 07,15.,Mexico,"$1,500.00",1 Player
FIFA 07,16.,Brazil,"$1,000.00",1 Player
FIFA 07,17.,Kazakhstan,$400.00,1 Player
FIFA 07,18.,Venezuela,$300.00,1 Player
FIFA 08,1.,United Kingdom,"$53,473.11",4 Players
FIFA 08,2.,Germany,"$32,025.33",26 Players
FIFA 08,3.,Spain,"$20,000.00",1 Player
FIFA 08,4.,Romania,"$15,477.40",6 Players
FIFA 08,5.,Italy,"$15,000.00",1 Player
FIFA 08,6.,Portugal,"$11,638.43",7 Players
FIFA 08,7.,Ukraine,"$9,312.54",1 Player
FIFA 08,8.,United States,"$8,000.00",1 Player
FIFA 08,9.,Canada,"$7,000.00",1 Player
FIFA 08,10.,Poland,"$5,909.60",7 Players
FIFA 08,11.,Austria,"$3,996.24",2 Players
FIFA 08,12.,Argentina,"$3,000.00",1 Player
FIFA 08,13.,Australia,"$3,000.00",1 Player
FIFA 08,14.,China,"$3,000.00",1 Player
FIFA 08,15.,Mexico,"$3,000.00",1 Player
FIFA 08,16.,France,"$2,560.19",3 Players
FIFA 08,17.,Latvia,"$2,091.00",1 Player
FIFA 08,18.,Netherlands,"$1,476.41",4 Players
FIFA 08,19.,Kazakhstan,$329.67,1 Player
FIFA 08,20.,Belgium,$144.15,1 Player
FIFA 09,1.,Germany,"$65,418.41",33 Players
FIFA 09,2.,France,"$20,000.00",1 Player
FIFA 09,3.,Russian Federation,"$5,286.91",4 Players
FIFA 09,4.,Mexico,"$5,000.00",1 Player
FIFA 09,5.,Kazakhstan,"$4,245.13",6 Players
FIFA 09,6.,Poland,"$2,285.22",2 Players
FIFA 09,7.,Norway,"$1,501.51",3 Players
FIFA 09,8.,Ukraine,"$1,434.12",6 Players
FIFA 09,9.,Portugal,"$1,000.00",1 Player
FIFA 09,10.,Turkey,$646.76,1 Player
FIFA 09,11.,Italy,$168.05,1 Player
FIFA 10,1.,Germany,"$33,692.39",31 Players
FIFA 10,2.,United States,"$20,000.00",1 Player
FIFA 10,3.,France,"$9,000.00",2 Players
FIFA 10,4.,Russian Federation,"$4,288.58",7 Players
FIFA 10,5.,Brazil,"$4,000.00",1 Player
FIFA 10,6.,United Kingdom,"$3,920.50",6 Players
FIFA 10,7.,Bulgaria,"$3,165.99",7 Players
FIFA 10,8.,China,"$3,000.00",1 Player
FIFA 10,9.,Mexico,"$2,000.00",1 Player
FIFA 10,10.,Norway,"$1,690.79",3 Players
FIFA 10,11.,Slovakia,"$1,376.89",3 Players
FIFA 10,12.,Romania,"$1,043.26",6 Players
FIFA 10,13.,Portugal,$804.26,2 Players
FIFA 10,14.,Turkey,$311.92,1 Player
FIFA 10,15.,Italy,$128.97,1 Player
FIFA 11,1.,Portugal,"$22,000.00",1 Player
FIFA 11,2.,Germany,"$14,047.34",11 Players
FIFA 11,3.,Kazakhstan,"$9,276.93",34 Players
FIFA 11,4.,France,"$8,000.00",1 Player
FIFA 11,5.,Colombia,"$5,000.00",1 Player
FIFA 11,6.,Poland,"$4,865.86",6 Players
FIFA 11,7.,Spain,"$4,000.00",1 Player
FIFA 11,8.,Bulgaria,"$2,342.51",2 Players
FIFA 11,9.,Russian Federation,"$1,981.86",3 Players
FIFA 11,10.,Ukraine,"$1,372.21",1 Player
FIFA 11,11.,Italy,"$1,319.95",1 Player
FIFA 11,12.,Australia,"$1,000.00",1 Player
FIFA 11,13.,Netherlands,"$1,000.00",1 Player
FIFA 11,14.,Brazil,$909.11,3 Players
FIFA 11,15.,Malaysia,$500.00,1 Player
FIFA 11,16.,Romania,$420.06,3 Players
FIFA 11,17.,"Iran, Islamic Republic of",$137.64,1 Player
FIFA 12,1.,Spain,"$20,000.00",1 Player
FIFA 12,2.,Germany,"$12,371.75",6 Players
FIFA 12,3.,Poland,"$5,648.48",3 Players
FIFA 12,4.,France,"$5,000.00",1 Player
FIFA 12,5.,Sweden,"$2,711.25",2 Players
FIFA 12,6.,Argentina,"$2,000.00",1 Player
FIFA 12,7.,Chile,"$2,000.00",1 Player
FIFA 12,8.,Romania,"$1,482.47",4 Players
FIFA 12,9.,Mexico,"$1,000.00",1 Player
FIFA 12,10.,Bulgaria,$773.04,2 Players
FIFA 12,11.,Ukraine,$665.82,4 Players
FIFA 12,12.,Portugal,$528.40,2 Players
FIFA 12,13.,Kazakhstan,$527.85,9 Players
FIFA 12,14.,Finland,$521.12,5 Players
FIFA 12,15.,Australia,$519.20,3 Players
FIFA 12,16.,United Kingdom,$518.65,3 Players
FIFA 12,17.,Brazil,$500.00,1 Player
FIFA 12,18.,Russian Federation,$391.54,2 Players
FIFA 12,19.,Turkey,$377.05,2 Players
FIFA 12,20.,Belgium,$137.26,1 Player
FIFA 12,21.,Hungary,$128.95,1 Player
FIFA 12,22.,"Iran, Islamic Republic of",$128.69,1 Player
FIFA 12,23.,China,$0.00,1 Player
FIFA 12,24.,Malaysia,$0.00,1 Player
FIFA 12,25.,Thailand,$0.00,1 Player
FIFA 13,1.,Sweden,"$150,750.89",9 Players
FIFA 13,2.,Spain,"$44,300.00",2 Players
FIFA 13,3.,France,"$38,265.33",5 Players
FIFA 13,4.,United Kingdom,"$8,255.11",4 Players
FIFA 13,5.,Netherlands,"$8,000.00",1 Player
FIFA 13,6.,Poland,"$6,474.15",8 Players
FIFA 13,7.,Mexico,"$5,000.00",1 Player
FIFA 13,8.,Romania,"$4,932.17",3 Players
FIFA 13,9.,Germany,"$2,922.77",5 Players
FIFA 13,10.,Kazakhstan,"$1,000.00",3 Players
FIFA 13,11.,Bulgaria,$849.65,2 Players
FIFA 13,12.,"Iran, Islamic Republic of",$785.88,3 Players
FIFA 13,13.,Russian Federation,$592.12,1 Player
FIFA 13,14.,Malta,$444.70,2 Players
FIFA 13,15.,Italy,$398.46,1 Player
FIFA 13,16.,Ukraine,$395.05,1 Player
FIFA 13,17.,Portugal,$131.76,1 Player
FIFA 13,18.,Greece,$129.78,1 Player
FIFA 14,1.,Denmark,"$21,250.00",1 Player
FIFA 14,2.,Sweden,"$17,524.81",9 Players
FIFA 14,3.,France,"$16,500.00",2 Players
FIFA 14,4.,Germany,"$13,090.54",16 Players
FIFA 14,5.,"Iran, Islamic Republic of","$10,128.87",1 Player
FIFA 14,6.,United Kingdom,"$6,651.25",3 Players
FIFA 14,7.,Russian Federation,"$2,912.57",3 Players
FIFA 14,8.,Poland,"$2,782.71",9 Players
FIFA 14,9.,Argentina,"$2,000.00",1 Player
FIFA 14,10.,Netherlands,"$1,000.00",1 Player
FIFA 14,11.,Malta,$805.51,3 Players
FIFA 14,12.,Finland,$614.97,4 Players
FIFA 14,13.,Romania,$409.77,2 Players
FIFA 14,14.,Turkey,$271.79,2 Players
FIFA 14,15.,Italy,$136.58,1 Player
FIFA 14,16.,Armenia,$134.91,1 Player
FIFA 14,17.,Bulgaria,$133.55,1 Player
FIFA 15,1.,France,"$34,394.05",18 Players
FIFA 15,2.,United Kingdom,"$29,682.25",10 Players
FIFA 15,3.,Germany,"$23,387.15",69 Players
FIFA 15,4.,Saudi Arabia,"$20,000.00",1 Player
FIFA 15,5.,Sweden,"$13,621.71",5 Players
FIFA 15,6.,Spain,"$6,507.59",6 Players
FIFA 15,7.,"Iran, Islamic Republic of","$4,000.00",1 Player
FIFA 15,8.,Denmark,"$2,338.60",3 Players
FIFA 15,9.,Poland,"$2,221.57",11 Players
FIFA 15,10.,Turkey,"$1,517.98",3 Players
FIFA 15,11.,Russian Federation,"$1,266.66",8 Players
FIFA 15,12.,Malta,"$1,024.99",7 Players
FIFA 15,13.,Portugal,$682.18,1 Player
FIFA 15,14.,Switzerland,$633.00,2 Players
FIFA 15,15.,South Africa,$617.08,8 Players
FIFA 15,16.,Romania,$505.65,3 Players
FIFA 15,17.,Austria,$498.57,2 Players
