rank,country,earning,players,tournaments
Gears 5,1.,United States,"$1,328,435.00",76 Players
Gears 5,2.,Mexico,"$532,570.00",37 Players
Gears 5,3.,United Kingdom,"$169,600.00",23 Players
Gears 5,4.,Philippines,"$91,395.00",1 Player
Gears 5,5.,France,"$58,400.00",5 Players
Gears 5,6.,Spain,"$53,100.00",9 Players
Gears 5,7.,Puerto Rico,"$30,505.00",3 Players
Gears 5,8.,Canada,"$28,420.00",2 Players
Gears 5,9.,Italy,"$15,000.00",1 Player
Gears 5,10.,Colombia,"$5,600.00",1 Player
Gears 5,11.,Ireland,"$2,400.00",1 Player
Gears 5,12.,Austria,$900.00,1 Player
Gears 5,13.,Germany,$900.00,1 Player
Gears 5,14.,Russian Federation,$900.00,1 Player
Gears 5,15.,Kuwait,$800.00,1 Player
Gears of War,1.,United States,"$4,878.30",13 Players
Gears of War,2.,Canada,"$4,022.46",19 Players
Gears of War,3.,United Kingdom,"$2,000.00",1 Player
Gears of War 3,1.,United States,"$2,500.00",13 Players
Gears of War 3,2.,Philippines,$50.00,1 Player
Gears of War 4,1.,United States,"$2,175,925.00",79 Players
Gears of War 4,2.,Philippines,"$226,630.00",1 Player
Gears of War 4,3.,Mexico,"$217,980.00",28 Players
Gears of War 4,4.,United Kingdom,"$188,080.00",13 Players
Gears of War 4,5.,Puerto Rico,"$104,860.00",2 Players
Gears of War 4,6.,Canada,"$33,700.00",9 Players
Gears of War 4,7.,France,"$22,600.00",7 Players
Gears of War 4,8.,Australia,"$4,610.00",8 Players
Gears of War 4,9.,Spain,"$4,400.00",6 Players
Gears of War 4,10.,Kuwait,$600.00,1 Player
Gears of War 4,11.,New Zealand,$500.00,1 Player
Gears of War Ultimate Edition,1.,United States,"$133,500.00",36 Players
Gears of War Ultimate Edition,2.,Philippines,"$14,000.00",1 Player
Gears of War Ultimate Edition,3.,Puerto Rico,"$10,250.00",1 Player
Gears of War Ultimate Edition,4.,Canada,$250.00,1 Player
Mobile Suit Gundam Extreme Vs Maxi Boost ON,1.,United States,$420.00,12 Players
Rogue Company,1.,United States,"$24,050.00",23 Players
Rogue Company,2.,France,"$8,200.00",8 Players
Rogue Company,3.,United Kingdom,"$4,500.00",2 Players
Rogue Company,4.,Hungary,"$4,200.00",4 Players
Rogue Company,5.,Germany,"$2,800.00",4 Players
Rogue Company,6.,Norway,"$2,250.00",1 Player
Rogue Company,7.,Serbia,"$2,250.00",1 Player
Rogue Company,8.,Canada,$950.00,1 Player
Rogue Company,9.,Poland,$800.00,4 Players
The Division 2,1.,United States,"$13,125.00",19 Players
The Division 2,2.,Russian Federation,"$3,000.00",4 Players
The Division 2,3.,Germany,"$2,500.00",4 Players
The Division 2,4.,France,"$2,000.00",4 Players
The Division 2,5.,Poland,"$2,000.00",4 Players
The Division 2,6.,Sweden,"$2,000.00",2 Players
The Division 2,7.,Denmark,"$1,000.00",1 Player
The Division 2,8.,Norway,"$1,000.00",1 Player
The Division 2,9.,Canada,$625.00,1 Player
