Game Genre,Country,Ranking
Battle Royale,"Taiwan, Republic of China",0.0
Battle Royale,Italy,0.0
Battle Royale,"Korea, Republic of",0.0
Battle Royale,Malaysia,0.0
Battle Royale,Latvia,0.0
Battle Royale,Australia,0.0
Battle Royale,Hungary,0.0
Battle Royale,Spain,0.0
Battle Royale,Philippines,0.0
Battle Royale,Denmark,0.0
Battle Royale,Saudi Arabia,0.0
Battle Royale,Netherlands,0.0
Battle Royale,Thailand,0.0
Battle Royale,Viet Nam,0.0
Battle Royale,Jordan,0.0
Battle Royale,Puerto Rico,0.0
Battle Royale,Mexico,0.0
Battle Royale,Croatia,0.0
Battle Royale,Finland,0.0
Battle Royale,Azerbaijan,0.0
Battle Royale,Sweden,0.0
Battle Royale,Indonesia,0.0
Battle Royale,India,0.0
Battle Royale,United States,49.0
Battle Royale,Germany,48.0
Battle Royale,Japan,47.0
Battle Royale,France,46.0
Battle Royale,China,45.0
Battle Royale,Russian Federation,44.0
Battle Royale,Canada,43.0
Battle Royale,United Kingdom,42.0
Battle Royale,Brazil,41.0
Battle Royale,Poland,40.0
Collectible Cards,"Taiwan, Republic of China",0.0
Collectible Cards,Italy,0.0
Collectible Cards,"Korea, Republic of",0.0
Collectible Cards,Malaysia,0.0
Collectible Cards,Latvia,0.0
Collectible Cards,Hungary,0.0
Collectible Cards,Spain,0.0
Collectible Cards,Philippines,0.0
Collectible Cards,Denmark,0.0
Collectible Cards,Saudi Arabia,0.0
Collectible Cards,Poland,0.0
Collectible Cards,Japan,0.0
Collectible Cards,Thailand,0.0
Collectible Cards,Viet Nam,0.0
Collectible Cards,Jordan,0.0
Collectible Cards,Brazil,0.0
Collectible Cards,Puerto Rico,0.0
Collectible Cards,Mexico,0.0
Collectible Cards,Croatia,0.0
Collectible Cards,Finland,0.0
Collectible Cards,Azerbaijan,0.0
Collectible Cards,Indonesia,0.0
Collectible Cards,India,0.0
Collectible Cards,United States,49.0
Collectible Cards,Canada,48.0
Collectible Cards,United Kingdom,47.0
Collectible Cards,France,46.0
Collectible Cards,Russian Federation,45.0
Collectible Cards,Sweden,44.0
Collectible Cards,Germany,43.0
Collectible Cards,Australia,42.0
Collectible Cards,China,41.0
Collectible Cards,Netherlands,40.0
FPS,"Taiwan, Republic of China",0.0
FPS,Italy,0.0
FPS,Malaysia,0.0
FPS,Latvia,0.0
FPS,Australia,0.0
FPS,Hungary,0.0
FPS,Spain,0.0
FPS,Denmark,0.0
FPS,Saudi Arabia,0.0
FPS,China,0.0
FPS,Netherlands,0.0
FPS,Canada,0.0
FPS,Jordan,0.0
FPS,Brazil,0.0
FPS,Puerto Rico,0.0
FPS,United Kingdom,0.0
FPS,Russian Federation,0.0
FPS,Mexico,0.0
FPS,Croatia,0.0
FPS,Finland,0.0
FPS,Azerbaijan,0.0
FPS,Sweden,0.0
FPS,Indonesia,0.0
FPS,Germany,49.0
FPS,"Korea, Republic of",48.0
FPS,United States,47.0
FPS,Poland,46.0
FPS,Japan,45.0
FPS,Philippines,44.0
FPS,Viet Nam,43.0
FPS,France,42.0
FPS,India,41.0
FPS,Thailand,40.0
Fighting Game,"Taiwan, Republic of China",0.0
Fighting Game,Australia,0.0
Fighting Game,Hungary,0.0
Fighting Game,Germany,0.0
Fighting Game,Spain,0.0
Fighting Game,Philippines,0.0
Fighting Game,Denmark,0.0
Fighting Game,Saudi Arabia,0.0
Fighting Game,China,0.0
Fighting Game,Poland,0.0
Fighting Game,Netherlands,0.0
Fighting Game,Thailand,0.0
Fighting Game,Viet Nam,0.0
Fighting Game,Jordan,0.0
Fighting Game,Puerto Rico,0.0
Fighting Game,United Kingdom,0.0
Fighting Game,Russian Federation,0.0
Fighting Game,Mexico,0.0
Fighting Game,Croatia,0.0
Fighting Game,Finland,0.0
Fighting Game,Azerbaijan,0.0
Fighting Game,Sweden,0.0
Fighting Game,"Korea, Republic of",0.0
Fighting Game,India,49.0
Fighting Game,Italy,48.0
Fighting Game,United States,47.0
Fighting Game,Brazil,46.0
Fighting Game,Japan,45.0
Fighting Game,Canada,44.0
Fighting Game,France,43.0
Fighting Game,Indonesia,42.0
Fighting Game,Latvia,41.0
Fighting Game,Malaysia,40.0
MOBA,"Taiwan, Republic of China",0.0
MOBA,Italy,0.0
MOBA,Malaysia,0.0
MOBA,Latvia,0.0
MOBA,Australia,0.0
MOBA,Hungary,0.0
MOBA,Spain,0.0
MOBA,Philippines,0.0
MOBA,Denmark,0.0
MOBA,Saudi Arabia,0.0
MOBA,China,0.0
MOBA,Poland,0.0
MOBA,Netherlands,0.0
MOBA,Thailand,0.0
MOBA,Viet Nam,0.0
MOBA,Jordan,0.0
MOBA,Puerto Rico,0.0
MOBA,Russian Federation,0.0
MOBA,Mexico,0.0
MOBA,Finland,0.0
MOBA,Sweden,0.0
MOBA,Indonesia,0.0
MOBA,India,0.0
MOBA,United States,49.0
MOBA,Japan,48.0
MOBA,United Kingdom,47.0
MOBA,Canada,46.0
MOBA,Croatia,45.0
MOBA,France,44.0
MOBA,Azerbaijan,43.0
MOBA,Germany,42.0
MOBA,"Korea, Republic of",41.0
MOBA,Brazil,40.0
Music,"Taiwan, Republic of China",0.0
Music,Italy,0.0
Music,Malaysia,0.0
Music,Latvia,0.0
Music,Australia,0.0
Music,Hungary,0.0
Music,Spain,0.0
Music,Philippines,0.0
Music,Denmark,0.0
Music,Saudi Arabia,0.0
Music,Poland,0.0
Music,Japan,0.0
Music,Netherlands,0.0
Music,Viet Nam,0.0
Music,Thailand,0.0
Music,Brazil,0.0
Music,Puerto Rico,0.0
Music,Mexico,0.0
Music,Croatia,0.0
Music,Finland,0.0
Music,Sweden,0.0
Music,Indonesia,0.0
Music,India,0.0
Music,United States,49.0
Music,"Korea, Republic of",48.0
Music,China,47.0
Music,Germany,46.0
Music,Azerbaijan,45.0
Music,Russian Federation,44.0
Music,France,43.0
Music,Canada,42.0
Music,United Kingdom,41.0
Music,Jordan,40.0
Puzzle,"Taiwan, Republic of China",0.0
Puzzle,Italy,0.0
Puzzle,Malaysia,0.0
Puzzle,Latvia,0.0
Puzzle,Australia,0.0
Puzzle,Hungary,0.0
Puzzle,Spain,0.0
Puzzle,Philippines,0.0
Puzzle,Saudi Arabia,0.0
Puzzle,Poland,0.0
Puzzle,Japan,0.0
Puzzle,Netherlands,0.0
Puzzle,Viet Nam,0.0
Puzzle,Thailand,0.0
Puzzle,Jordan,0.0
Puzzle,Puerto Rico,0.0
Puzzle,United Kingdom,0.0
Puzzle,Mexico,0.0
Puzzle,Croatia,0.0
Puzzle,Finland,0.0
Puzzle,Azerbaijan,0.0
Puzzle,Indonesia,0.0
Puzzle,India,0.0
Puzzle,China,49.0
Puzzle,United States,48.0
Puzzle,Germany,47.0
Puzzle,Russian Federation,46.0
Puzzle,"Korea, Republic of",45.0
Puzzle,Brazil,44.0
Puzzle,Sweden,43.0
Puzzle,Denmark,42.0
Puzzle,Canada,41.0
Puzzle,France,40.0
RPG,"Taiwan, Republic of China",0.0
RPG,Malaysia,0.0
RPG,Latvia,0.0
RPG,Australia,0.0
RPG,Hungary,0.0
RPG,Spain,0.0
RPG,Philippines,0.0
RPG,Denmark,0.0
RPG,Saudi Arabia,0.0
RPG,China,0.0
RPG,Japan,0.0
RPG,Thailand,0.0
RPG,Viet Nam,0.0
RPG,Jordan,0.0
RPG,Brazil,0.0
RPG,Puerto Rico,0.0
RPG,Russian Federation,0.0
RPG,Mexico,0.0
RPG,Croatia,0.0
RPG,Azerbaijan,0.0
RPG,Sweden,0.0
RPG,Indonesia,0.0
RPG,India,0.0
RPG,United Kingdom,49.0
RPG,Germany,48.0
RPG,France,47.0
RPG,United States,46.0
RPG,Netherlands,45.0
RPG,Finland,44.0
RPG,Poland,43.0
RPG,Canada,42.0
RPG,Italy,41.0
RPG,"Korea, Republic of",40.0
Racing,"Taiwan, Republic of China",0.0
Racing,Italy,0.0
Racing,Malaysia,0.0
Racing,Latvia,0.0
Racing,Hungary,0.0
Racing,Germany,0.0
Racing,Spain,0.0
Racing,Philippines,0.0
Racing,Saudi Arabia,0.0
Racing,Poland,0.0
Racing,Netherlands,0.0
Racing,Thailand,0.0
Racing,Viet Nam,0.0
Racing,France,0.0
Racing,Jordan,0.0
Racing,Puerto Rico,0.0
Racing,Mexico,0.0
Racing,Croatia,0.0
Racing,Finland,0.0
Racing,Azerbaijan,0.0
Racing,Sweden,0.0
Racing,Indonesia,0.0
Racing,India,0.0
Racing,United States,49.0
Racing,Australia,48.0
Racing,Russian Federation,47.0
Racing,Brazil,46.0
Racing,"Korea, Republic of",45.0
Racing,Denmark,44.0
Racing,Canada,43.0
Racing,Japan,42.0
Racing,United Kingdom,41.0
Racing,China,40.0
Sports,"Taiwan, Republic of China",0.0
Sports,Italy,0.0
Sports,Malaysia,0.0
Sports,Latvia,0.0
Sports,Hungary,0.0
Sports,Spain,0.0
Sports,Philippines,0.0
Sports,Denmark,0.0
Sports,Saudi Arabia,0.0
Sports,Japan,0.0
Sports,Netherlands,0.0
Sports,Viet Nam,0.0
Sports,Thailand,0.0
Sports,Jordan,0.0
Sports,Puerto Rico,0.0
Sports,Russian Federation,0.0
Sports,Mexico,0.0
Sports,Croatia,0.0
Sports,Finland,0.0
Sports,Azerbaijan,0.0
Sports,Sweden,0.0
Sports,Indonesia,0.0
Sports,India,0.0
Sports,United States,49.0
Sports,"Korea, Republic of",48.0
Sports,Germany,47.0
Sports,Poland,46.0
Sports,China,45.0
Sports,France,44.0
Sports,Brazil,43.0
Sports,United Kingdom,42.0
Sports,Australia,41.0
Sports,Canada,40.0
Strategy,Italy,0.0
Strategy,"Korea, Republic of",0.0
Strategy,Malaysia,0.0
Strategy,Latvia,0.0
Strategy,Australia,0.0
Strategy,Hungary,0.0
Strategy,Philippines,0.0
Strategy,China,0.0
Strategy,Poland,0.0
Strategy,Japan,0.0
Strategy,Netherlands,0.0
Strategy,Viet Nam,0.0
Strategy,Thailand,0.0
Strategy,Canada,0.0
Strategy,Jordan,0.0
Strategy,Russian Federation,0.0
Strategy,Mexico,0.0
Strategy,Croatia,0.0
Strategy,Finland,0.0
Strategy,Azerbaijan,0.0
Strategy,Sweden,0.0
Strategy,Indonesia,0.0
Strategy,India,0.0
Strategy,Germany,49.0
Strategy,United States,48.0
Strategy,"Taiwan, Republic of China",47.0
Strategy,United Kingdom,46.0
Strategy,France,45.0
Strategy,Brazil,44.0
Strategy,Spain,43.0
Strategy,Saudi Arabia,42.0
Strategy,Denmark,41.0
Strategy,Puerto Rico,40.0
TPS,"Taiwan, Republic of China",0.0
TPS,Italy,0.0
TPS,"Korea, Republic of",0.0
TPS,Malaysia,0.0
TPS,Latvia,0.0
TPS,Australia,0.0
TPS,Germany,0.0
TPS,Spain,0.0
TPS,Saudi Arabia,0.0
TPS,China,0.0
TPS,Poland,0.0
TPS,Japan,0.0
TPS,Netherlands,0.0
TPS,Viet Nam,0.0
TPS,Thailand,0.0
TPS,Jordan,0.0
TPS,Brazil,0.0
TPS,Russian Federation,0.0
TPS,Croatia,0.0
TPS,Finland,0.0
TPS,Azerbaijan,0.0
TPS,Indonesia,0.0
TPS,India,0.0
TPS,United States,49.0
TPS,Mexico,48.0
TPS,Philippines,47.0
TPS,United Kingdom,46.0
TPS,Hungary,45.0
TPS,France,44.0
TPS,Puerto Rico,43.0
TPS,Sweden,42.0
TPS,Canada,41.0
TPS,Denmark,40.0
