rank,country,earning,players,tournaments
Artifact Classic,1.,China,"$26,273.47",21 Players
Artifact Classic,2.,United States,"$24,859.43",83 Players
Artifact Classic,3.,Russian Federation,"$17,440.55",58 Players
Artifact Classic,4.,Germany,"$14,417.30",16 Players
Artifact Classic,5.,Czech Republic,"$5,951.00",4 Players
Artifact Classic,6.,Sweden,"$5,190.90",2 Players
Artifact Classic,7.,Denmark,"$4,888.00",3 Players
Artifact Classic,8.,Australia,"$2,873.81",7 Players
Artifact Classic,9.,Kazakhstan,"$2,337.69",2 Players
Artifact Classic,10.,Spain,"$2,000.00",1 Player
Artifact Classic,11.,Finland,"$1,923.00",4 Players
Artifact Classic,12.,United Kingdom,"$1,733.35",5 Players
Artifact Classic,13.,Canada,"$1,513.10",9 Players
Artifact Classic,14.,Lithuania,"$1,212.50",2 Players
Artifact Classic,15.,Argentina,$825.00,4 Players
Artifact Classic,16.,Brazil,$711.13,10 Players
Artifact Classic,17.,Poland,$667.00,2 Players
Artifact Classic,18.,Austria,$612.50,2 Players
Artifact Classic,19.,Peru,$548.33,4 Players
Artifact Classic,20.,Ukraine,$519.46,6 Players
Artifact Classic,21.,Thailand,$510.50,1 Player
Artifact Classic,22.,--UNDEFINED--,$510.00,7 Players
Artifact Classic,23.,Greece,$500.00,1 Player
Artifact Classic,24.,"Korea, Republic of",$375.00,1 Player
Artifact Classic,25.,Belarus,$317.18,6 Players
Artifact Classic,26.,Malaysia,$207.50,2 Players
Artifact Classic,27.,"Moldova, Republic of",$199.50,1 Player
Artifact Classic,28.,Israel,$180.00,1 Player
Artifact Classic,29.,Bolivia,$160.00,1 Player
Artifact Classic,30.,Romania,$142.50,1 Player
Artifact Classic,31.,Viet Nam,$128.96,4 Players
Artifact Classic,32.,Hungary,$111.30,1 Player
Artifact Classic,33.,Turkey,$106.80,1 Player
Artifact Classic,34.,Belgium,$93.30,2 Players
Artifact Classic,35.,Netherlands,$70.00,1 Player
Artifact Classic,36.,Uzbekistan,$50.00,1 Player
Artifact Classic,37.,Latvia,$40.00,1 Player
Artifact Classic,38.,Philippines,$25.00,1 Player
Artifact Classic,39.,Singapore,$15.00,1 Player
Artifact Classic,40.,Azerbaijan,$10.00,1 Player
Artifact Classic,41.,Indonesia,$10.00,1 Player
Artifact Classic,42.,Jordan,$5.00,1 Player
Artifact Classic,43.,Uruguay,$3.33,1 Player
