rank,country,earning,players,tournaments
Artifact Foundry,1.,Chile,$411.75,1 Player
Artifact Foundry,2.,Russian Federation,$323.85,5 Players
Artifact Foundry,3.,--UNDEFINED--,$110.00,5 Players
Artifact Foundry,4.,Ireland,$100.00,1 Player
Artifact Foundry,5.,Hungary,$56.20,1 Player
Artifact Foundry,6.,Ukraine,$50.00,1 Player
Artifact Foundry,7.,United States,$45.00,1 Player
Artifact Foundry,8.,Germany,$30.00,2 Players
Artifact Foundry,9.,Italy,$20.00,1 Player
Artifact Foundry,10.,Canada,$10.00,1 Player
Artifact Foundry,11.,South Africa,$10.00,1 Player
Artifact Foundry,12.,Singapore,$7.70,1 Player
