rank,country,earning,players,tournaments
Gwent,1.,Germany,"$474,121.87",23 Players
Gwent,2.,Poland,"$335,126.13",61 Players
Gwent,3.,United Kingdom,"$173,183.11",9 Players
Gwent,4.,China,"$102,157.52",24 Players
Gwent,5.,"Moldova, Republic of","$91,065.00",1 Player
Gwent,6.,Canada,"$69,467.62",4 Players
Gwent,7.,Russian Federation,"$63,023.71",41 Players
Gwent,8.,Austria,"$50,638.70",5 Players
Gwent,9.,Ukraine,"$34,175.45",13 Players
Gwent,10.,Turkey,"$20,085.70",4 Players
Gwent,11.,United States,"$20,027.69",34 Players
Gwent,12.,Colombia,"$17,790.00",2 Players
Gwent,13.,Brazil,"$11,352.64",15 Players
Gwent,14.,Belarus,"$9,152.24",7 Players
Gwent,15.,Denmark,"$9,035.00",2 Players
Gwent,16.,Spain,"$3,786.78",7 Players
Gwent,17.,Finland,"$3,758.47",3 Players
Gwent,18.,Romania,"$3,195.00",3 Players
Gwent,19.,Netherlands,"$2,983.46",4 Players
Gwent,20.,Czech Republic,"$2,454.84",6 Players
Gwent,21.,Belgium,"$1,360.00",3 Players
Gwent,22.,Italy,"$1,317.90",6 Players
Gwent,23.,Hungary,"$1,005.89",2 Players
Gwent,24.,Australia,$898.58,5 Players
Gwent,25.,Serbia,$745.99,2 Players
Gwent,26.,Slovenia,$710.94,5 Players
Gwent,27.,Japan,$578.57,9 Players
Gwent,28.,France,$569.74,17 Players
Gwent,29.,"Korea, Republic of",$480.39,8 Players
Gwent,30.,Slovakia,$162.31,4 Players
Gwent,31.,Norway,$120.00,1 Player
Gwent,32.,New Zealand,$94.33,2 Players
Gwent,33.,Ireland,$88.74,1 Player
Gwent,34.,Bulgaria,$80.72,3 Players
Gwent,35.,South Africa,$75.00,3 Players
Gwent,36.,Lithuania,$56.17,1 Player
Gwent,37.,Malaysia,$30.00,1 Player
Gwent,38.,Portugal,$20.00,1 Player
Gwent,39.,Greece,$10.00,1 Player
Gwent,40.,Latvia,$5.97,1 Player
Gwent,41.,Argentina,$5.00,1 Player
