rank,country,earning,players,tournaments
Hand of the Gods,1.,United States,"$24,040.00",22 Players
Hand of the Gods,2.,United Kingdom,"$22,025.00",2 Players
Hand of the Gods,3.,Israel,"$16,250.00",1 Player
Hand of the Gods,4.,France,"$8,550.00",6 Players
Hand of the Gods,5.,Sweden,"$7,650.00",3 Players
Hand of the Gods,6.,Romania,"$2,200.00",1 Player
Hand of the Gods,7.,Slovakia,"$2,100.00",1 Player
Hand of the Gods,8.,Russian Federation,"$1,850.00",3 Players
Hand of the Gods,9.,Italy,"$1,410.00",1 Player
Hand of the Gods,10.,Belgium,"$1,100.00",1 Player
Hand of the Gods,11.,Spain,"$1,000.00",1 Player
Hand of the Gods,12.,Canada,$450.00,2 Players
Hand of the Gods,13.,"Palestine, State of",$375.00,1 Player
Hand of the Gods,14.,Greece,$275.00,1 Player
Hand of the Gods,15.,Argentina,$184.20,1 Player
Hand of the Gods,16.,Chile,$75.00,1 Player
