rank,country,earning,players,tournaments
Hearthstone Battlegrounds,1.,United States,"$182,700.00",11 Players
Hearthstone Battlegrounds,2.,France,"$132,080.00",6 Players
Hearthstone Battlegrounds,3.,Japan,"$55,250.00",11 Players
Hearthstone Battlegrounds,4.,Russian Federation,"$40,250.00",6 Players
Hearthstone Battlegrounds,5.,Canada,"$37,000.00",5 Players
Hearthstone Battlegrounds,6.,"Korea, Republic of","$28,250.00",4 Players
Hearthstone Battlegrounds,7.,"Taiwan, Republic of China","$28,250.00",10 Players
Hearthstone Battlegrounds,8.,Ukraine,"$28,250.00",1 Player
Hearthstone Battlegrounds,9.,Netherlands,"$27,050.00",2 Players
Hearthstone Battlegrounds,10.,Romania,"$26,750.00",1 Player
Hearthstone Battlegrounds,11.,Hong Kong,"$26,250.00",1 Player
Hearthstone Battlegrounds,12.,China,"$24,000.00",9 Players
Hearthstone Battlegrounds,13.,Germany,"$20,450.00",6 Players
Hearthstone Battlegrounds,14.,Norway,"$16,250.00",1 Player
Hearthstone Battlegrounds,15.,Finland,"$15,500.00",1 Player
Hearthstone Battlegrounds,16.,Poland,"$9,000.00",2 Players
Hearthstone Battlegrounds,17.,Sweden,"$5,100.00",3 Players
Hearthstone Battlegrounds,18.,Belgium,"$4,950.00",3 Players
Hearthstone Battlegrounds,19.,Brazil,"$3,750.00",3 Players
Hearthstone Battlegrounds,20.,--UNDEFINED--,"$1,800.00",3 Players
Hearthstone Battlegrounds,21.,Italy,"$1,750.00",1 Player
Hearthstone Battlegrounds,22.,Belarus,$500.00,1 Player
