rank,country,earning,players,tournaments
Legends of Runeterra,1.,United States,"$140,800.00",36 Players
Legends of Runeterra,2.,Poland,"$63,657.14",13 Players
Legends of Runeterra,3.,Germany,"$56,575.22",25 Players
Legends of Runeterra,4.,Greece,"$40,310.00",3 Players
Legends of Runeterra,5.,"Korea, Republic of","$39,940.01",8 Players
Legends of Runeterra,6.,Czech Republic,"$39,250.00",4 Players
Legends of Runeterra,7.,France,"$38,525.00",22 Players
Legends of Runeterra,8.,Brazil,"$35,930.00",22 Players
Legends of Runeterra,9.,Thailand,"$33,500.00",14 Players
Legends of Runeterra,10.,Spain,"$32,520.00",15 Players
Legends of Runeterra,11.,Viet Nam,"$27,550.00",16 Players
Legends of Runeterra,12.,Japan,"$26,004.99",5 Players
Legends of Runeterra,13.,Chile,"$18,900.00",2 Players
Legends of Runeterra,14.,Portugal,"$15,005.00",4 Players
Legends of Runeterra,15.,Russian Federation,"$13,370.00",9 Players
Legends of Runeterra,16.,Malaysia,"$11,400.00",7 Players
Legends of Runeterra,17.,Hong Kong,"$11,150.00",7 Players
Legends of Runeterra,18.,"Taiwan, Republic of China","$8,965.00",8 Players
Legends of Runeterra,19.,Italy,"$4,025.00",9 Players
Legends of Runeterra,20.,Argentina,"$3,700.00",2 Players
Legends of Runeterra,21.,Turkey,"$3,360.00",6 Players
Legends of Runeterra,22.,Indonesia,"$1,950.00",6 Players
Legends of Runeterra,23.,Philippines,"$1,855.00",8 Players
Legends of Runeterra,24.,Canada,"$1,700.00",5 Players
Legends of Runeterra,25.,Norway,"$1,155.00",3 Players
Legends of Runeterra,26.,Lebanon,$955.00,1 Player
Legends of Runeterra,27.,Singapore,$850.00,4 Players
Legends of Runeterra,28.,United Kingdom,$570.00,6 Players
Legends of Runeterra,29.,Ukraine,$513.67,2 Players
Legends of Runeterra,30.,Macao,$400.00,1 Player
Legends of Runeterra,31.,Bulgaria,$300.00,2 Players
Legends of Runeterra,32.,Finland,$300.00,2 Players
Legends of Runeterra,33.,Saudi Arabia,$300.00,2 Players
Legends of Runeterra,34.,Uruguay,$300.00,1 Player
Legends of Runeterra,35.,Belgium,$255.00,3 Players
Legends of Runeterra,36.,Slovakia,$155.00,2 Players
Legends of Runeterra,37.,Mexico,$150.00,1 Player
Legends of Runeterra,38.,Romania,$150.00,1 Player
Legends of Runeterra,39.,Netherlands,$65.00,2 Players
Legends of Runeterra,40.,Croatia,$45.00,2 Players
Legends of Runeterra,41.,Denmark,$15.00,1 Player
Legends of Runeterra,42.,Sweden,$15.00,1 Player
