rank,country,earning,players,tournaments
Magic The Gathering Arena,1.,United States,"$2,125,125.00",158 Players
Magic The Gathering Arena,2.,Japan,"$963,800.00",46 Players
Magic The Gathering Arena,3.,France,"$593,250.00",22 Players
Magic The Gathering Arena,4.,Germany,"$518,500.00",22 Players
Magic The Gathering Arena,5.,Brazil,"$494,625.00",7 Players
Magic The Gathering Arena,6.,Italy,"$415,325.00",19 Players
Magic The Gathering Arena,7.,Czech Republic,"$356,925.00",7 Players
Magic The Gathering Arena,8.,Poland,"$342,550.00",9 Players
Magic The Gathering Arena,9.,Spain,"$265,125.00",16 Players
Magic The Gathering Arena,10.,Portugal,"$253,100.00",9 Players
Magic The Gathering Arena,11.,Argentina,"$236,500.00",4 Players
Magic The Gathering Arena,12.,United Kingdom,"$158,550.00",8 Players
Magic The Gathering Arena,13.,Canada,"$149,000.00",16 Players
Magic The Gathering Arena,14.,Lebanon,"$143,700.00",1 Player
Magic The Gathering Arena,15.,Finland,"$125,000.00",7 Players
Magic The Gathering Arena,16.,Denmark,"$87,000.00",6 Players
Magic The Gathering Arena,17.,Sweden,"$43,950.00",5 Players
Magic The Gathering Arena,18.,Hong Kong,"$41,075.00",3 Players
Magic The Gathering Arena,19.,China,"$40,000.00",4 Players
Magic The Gathering Arena,20.,Australia,"$39,500.00",4 Players
Magic The Gathering Arena,21.,Estonia,"$31,500.00",1 Player
Magic The Gathering Arena,22.,Austria,"$31,000.00",4 Players
Magic The Gathering Arena,23.,Mexico,"$29,750.00",3 Players
Magic The Gathering Arena,24.,Netherlands,"$29,000.00",4 Players
Magic The Gathering Arena,25.,Belgium,"$21,750.00",4 Players
Magic The Gathering Arena,26.,Slovakia,"$19,000.00",2 Players
Magic The Gathering Arena,27.,--UNDEFINED--,"$16,000.00",7 Players
Magic The Gathering Arena,28.,Russian Federation,"$15,000.00",4 Players
Magic The Gathering Arena,29.,"Korea, Republic of","$11,500.00",3 Players
Magic The Gathering Arena,30.,Greece,"$10,000.00",1 Player
Magic The Gathering Arena,31.,Ukraine,"$6,000.00",1 Player
Magic The Gathering Arena,32.,"Tanzania, United Republic of","$4,500.00",1 Player
Magic The Gathering Arena,33.,Guatemala,"$4,000.00",1 Player
Magic The Gathering Arena,34.,Israel,"$4,000.00",1 Player
Magic The Gathering Arena,35.,Chile,"$2,000.00",1 Player
Magic The Gathering Arena,36.,"Taiwan, Republic of China","$1,500.00",1 Player
Magic The Gathering Arena,37.,Ireland,"$1,200.00",1 Player
Magic The Gathering Arena,38.,Slovenia,"$1,000.00",1 Player
Magic The Gathering Arena,39.,Switzerland,$250.00,1 Player
Magic The Gathering Arena,40.,South Africa,$250.00,1 Player
