rank,country,earning,players,tournaments
Magic The Gathering Online,1.,United States,"$546,000.00",56 Players
Magic The Gathering Online,2.,Russian Federation,"$104,000.00",3 Players
Magic The Gathering Online,3.,Denmark,"$87,000.00",6 Players
Magic The Gathering Online,4.,Japan,"$72,000.00",10 Players
Magic The Gathering Online,5.,Portugal,"$59,000.00",5 Players
Magic The Gathering Online,6.,Spain,"$56,000.00",6 Players
Magic The Gathering Online,7.,Netherlands,"$52,000.00",3 Players
Magic The Gathering Online,8.,Germany,"$49,000.00",7 Players
Magic The Gathering Online,9.,Sweden,"$48,000.00",3 Players
Magic The Gathering Online,10.,Italy,"$47,500.00",1 Player
Magic The Gathering Online,11.,Brazil,"$41,000.00",3 Players
Magic The Gathering Online,12.,Finland,"$38,000.00",3 Players
Magic The Gathering Online,13.,Canada,"$27,000.00",5 Players
Magic The Gathering Online,14.,Czech Republic,"$25,000.00",3 Players
Magic The Gathering Online,15.,France,"$23,000.00",4 Players
Magic The Gathering Online,16.,Thailand,"$12,000.00",2 Players
Magic The Gathering Online,17.,Poland,"$10,000.00",2 Players
Magic The Gathering Online,18.,Austria,"$9,000.00",2 Players
Magic The Gathering Online,19.,Hungary,"$9,000.00",1 Player
Magic The Gathering Online,20.,Serbia,"$9,000.00",1 Player
Magic The Gathering Online,21.,Mexico,"$7,500.00",1 Player
Magic The Gathering Online,22.,Belgium,"$6,000.00",1 Player
Magic The Gathering Online,23.,Estonia,"$6,000.00",1 Player
Magic The Gathering Online,24.,United Kingdom,"$6,000.00",1 Player
Magic The Gathering Online,25.,Norway,"$6,000.00",1 Player
Magic The Gathering Online,26.,Slovakia,"$6,000.00",1 Player
Magic The Gathering Online,27.,Uruguay,"$6,000.00",1 Player
Magic The Gathering Online,28.,Argentina,"$4,000.00",1 Player
Magic The Gathering Online,29.,Australia,"$4,000.00",1 Player
Magic The Gathering Online,30.,China,"$4,000.00",1 Player
Magic The Gathering Online,31.,Hong Kong,"$4,000.00",1 Player
