rank,country,earning,players,tournaments
Yu-Gi-Oh! Duel Links,1.,United States,"$19,983.28",123 Players
Yu-Gi-Oh! Duel Links,2.,Germany,"$6,516.31",24 Players
Yu-Gi-Oh! Duel Links,3.,Japan,"$2,271.82",9 Players
Yu-Gi-Oh! Duel Links,4.,China,"$1,956.52",2 Players
Yu-Gi-Oh! Duel Links,5.,Brazil,"$1,918.75",72 Players
Yu-Gi-Oh! Duel Links,6.,Canada,"$1,822.86",14 Players
Yu-Gi-Oh! Duel Links,7.,France,"$1,700.73",11 Players
Yu-Gi-Oh! Duel Links,8.,United Kingdom,"$1,626.32",13 Players
Yu-Gi-Oh! Duel Links,9.,Italy,"$1,598.99",10 Players
Yu-Gi-Oh! Duel Links,10.,Netherlands,"$1,272.26",7 Players
Yu-Gi-Oh! Duel Links,11.,Belgium,$982.35,1 Player
Yu-Gi-Oh! Duel Links,12.,Slovenia,$971.66,2 Players
Yu-Gi-Oh! Duel Links,13.,Sweden,$822.90,3 Players
Yu-Gi-Oh! Duel Links,14.,Australia,$687.14,7 Players
Yu-Gi-Oh! Duel Links,15.,Morocco,$415.08,2 Players
Yu-Gi-Oh! Duel Links,16.,El Salvador,$409.72,1 Player
Yu-Gi-Oh! Duel Links,17.,Chile,$409.32,1 Player
Yu-Gi-Oh! Duel Links,18.,Slovakia,$402.66,1 Player
Yu-Gi-Oh! Duel Links,19.,Portugal,$363.02,4 Players
Yu-Gi-Oh! Duel Links,20.,Bahamas,$263.00,1 Player
Yu-Gi-Oh! Duel Links,21.,Luxembourg,$214.00,1 Player
Yu-Gi-Oh! Duel Links,22.,Greece,$198.07,4 Players
Yu-Gi-Oh! Duel Links,23.,Singapore,$190.50,2 Players
Yu-Gi-Oh! Duel Links,24.,Costa Rica,$164.21,1 Player
Yu-Gi-Oh! Duel Links,25.,Philippines,$157.50,3 Players
Yu-Gi-Oh! Duel Links,26.,United Arab Emirates,$156.52,1 Player
Yu-Gi-Oh! Duel Links,27.,Spain,$140.00,2 Players
Yu-Gi-Oh! Duel Links,28.,"Korea, Republic of",$132.85,2 Players
Yu-Gi-Oh! Duel Links,29.,Mexico,$114.91,1 Player
Yu-Gi-Oh! Duel Links,30.,Denmark,$110.00,1 Player
Yu-Gi-Oh! Duel Links,31.,Tunisia,$110.00,1 Player
Yu-Gi-Oh! Duel Links,32.,"Palestine, State of",$102.50,1 Player
Yu-Gi-Oh! Duel Links,33.,"Taiwan, Republic of China",$101.44,3 Players
Yu-Gi-Oh! Duel Links,34.,Estonia,$99.47,1 Player
Yu-Gi-Oh! Duel Links,35.,Iraq,$60.00,2 Players
Yu-Gi-Oh! Duel Links,36.,Ireland,$58.00,1 Player
Yu-Gi-Oh! Duel Links,37.,Israel,$55.56,1 Player
Yu-Gi-Oh! Duel Links,38.,Malaysia,$40.23,1 Player
Yu-Gi-Oh! Duel Links,39.,Austria,$26.00,1 Player
Yu-Gi-Oh! Duel Links,40.,Hungary,$22.80,1 Player
Yu-Gi-Oh! Duel Links,41.,Saudi Arabia,$22.80,1 Player
Yu-Gi-Oh! Duel Links,42.,Lithuania,$22.00,1 Player
Yu-Gi-Oh! Duel Links,43.,Indonesia,$19.84,3 Players
Yu-Gi-Oh! Duel Links,44.,Thailand,$10.49,1 Player
Yu-Gi-Oh! Duel Links,45.,Viet Nam,$10.00,1 Player
