rank,country,earning,players,tournaments
Brawlhalla,1.,United States,"$1,526,020.26",410 Players
Brawlhalla,2.,Brazil,"$375,686.85",130 Players
Brawlhalla,3.,Germany,"$263,880.01",38 Players
Brawlhalla,4.,Sweden,"$209,121.69",46 Players
Brawlhalla,5.,Canada,"$187,411.82",63 Players
Brawlhalla,6.,United Kingdom,"$154,947.88",45 Players
Brawlhalla,7.,France,"$154,915.82",49 Players
Brawlhalla,8.,Australia,"$138,508.45",99 Players
Brawlhalla,9.,Netherlands,"$81,306.58",23 Players
Brawlhalla,10.,Singapore,"$60,555.00",31 Players
Brawlhalla,11.,Argentina,"$60,534.03",10 Players
Brawlhalla,12.,Bulgaria,"$52,849.00",3 Players
Brawlhalla,13.,Finland,"$50,750.05",8 Players
Brawlhalla,14.,Denmark,"$48,515.48",7 Players
Brawlhalla,15.,Italy,"$46,859.17",8 Players
Brawlhalla,16.,Norway,"$29,578.82",7 Players
Brawlhalla,17.,Spain,"$24,349.99",14 Players
Brawlhalla,18.,Malaysia,"$22,705.00",16 Players
Brawlhalla,19.,Indonesia,"$19,972.50",26 Players
Brawlhalla,20.,Russian Federation,"$15,267.17",9 Players
Brawlhalla,21.,Thailand,"$14,505.00",6 Players
Brawlhalla,22.,Hungary,"$11,519.93",5 Players
Brawlhalla,23.,Portugal,"$10,730.00",5 Players
Brawlhalla,24.,Chile,"$8,940.00",4 Players
Brawlhalla,25.,Bangladesh,"$8,515.00",1 Player
Brawlhalla,26.,Hong Kong,"$6,537.50",5 Players
Brawlhalla,27.,Japan,"$5,795.00",20 Players
Brawlhalla,28.,Jordan,"$3,578.33",1 Player
Brawlhalla,29.,Belgium,"$2,835.00",4 Players
Brawlhalla,30.,Turkey,"$2,663.33",5 Players
Brawlhalla,31.,Morocco,"$1,916.34",3 Players
Brawlhalla,32.,Israel,"$1,870.67",5 Players
Brawlhalla,33.,India,"$1,865.00",1 Player
Brawlhalla,34.,New Zealand,"$1,652.25",8 Players
Brawlhalla,35.,Poland,"$1,543.33",3 Players
Brawlhalla,36.,Georgia,"$1,040.00",1 Player
Brawlhalla,37.,Malta,$865.19,1 Player
Brawlhalla,38.,Ireland,$750.00,3 Players
Brawlhalla,39.,Czech Republic,$735.00,3 Players
Brawlhalla,40.,--UNDEFINED--,$630.00,3 Players
Brawlhalla,41.,Peru,$550.00,1 Player
Brawlhalla,42.,Slovakia,$522.50,1 Player
Brawlhalla,43.,"Taiwan, Republic of China",$410.00,1 Player
Brawlhalla,44.,Egypt,$400.00,1 Player
Brawlhalla,45.,Philippines,$345.00,7 Players
Brawlhalla,46.,Switzerland,$300.00,1 Player
Brawlhalla,47.,Mexico,$290.00,2 Players
Brawlhalla,48.,Saudi Arabia,$250.00,1 Player
Brawlhalla,49.,"Korea, Republic of",$220.00,2 Players
Brawlhalla,50.,Venezuela,$220.00,5 Players
Brawlhalla,51.,Serbia,$177.14,1 Player
Brawlhalla,52.,Albania,$150.00,1 Player
Brawlhalla,53.,Tunisia,$80.83,2 Players
Brawlhalla,54.,Uruguay,$60.00,1 Player
Brawlhalla,55.,Viet Nam,$50.00,3 Players
Brawlhalla,56.,"Kosovo, Republic of",$50.00,1 Player
Brawlhalla,57.,Colombia,$40.00,2 Players
Brawlhalla,58.,United States Minor Outlying Islands,$30.00,1 Player
Brawlhalla,59.,Macao,$25.00,1 Player
Brawlhalla,60.,Maldives,$20.00,1 Player
Brawlhalla,61.,Romania,$10.00,1 Player
Brawlhalla,62.,Algeria,$7.50,1 Player
Brawlhalla,63.,Iraq,$7.50,1 Player
