rank,country,earning,players,tournaments
Granblue Fantasy Versus,1.,Japan,"$145,358.53",24 Players
Granblue Fantasy Versus,2.,United States,"$26,577.07",69 Players
Granblue Fantasy Versus,3.,Trinidad and Tobago,"$2,638.89",1 Player
Granblue Fantasy Versus,4.,"Korea, Republic of","$2,600.00",2 Players
Granblue Fantasy Versus,5.,Spain,"$2,562.50",2 Players
Granblue Fantasy Versus,6.,Germany,"$1,600.00",2 Players
Granblue Fantasy Versus,7.,"Taiwan, Republic of China","$1,400.00",2 Players
Granblue Fantasy Versus,8.,Puerto Rico,"$1,121.69",1 Player
Granblue Fantasy Versus,9.,Australia,$500.00,2 Players
Granblue Fantasy Versus,10.,Sweden,$400.00,1 Player
Granblue Fantasy Versus,11.,Canada,$367.50,4 Players
Granblue Fantasy Versus,12.,Finland,$300.00,1 Player
Granblue Fantasy Versus,13.,Thailand,$300.00,1 Player
Granblue Fantasy Versus,14.,Switzerland,$211.73,1 Player
Granblue Fantasy Versus,15.,Czech Republic,$200.00,1 Player
Granblue Fantasy Versus,16.,Poland,$200.00,1 Player
Granblue Fantasy Versus,17.,Singapore,$200.00,1 Player
Granblue Fantasy Versus,18.,France,$141.15,2 Players
Granblue Fantasy Versus,19.,Mexico,$128.16,1 Player
Granblue Fantasy Versus,20.,Philippines,$18.67,5 Players
