rank,country,earning,players,tournaments
Guilty Gear -STRIVE-,1.,United States,"$128,681.70",97 Players
Guilty Gear -STRIVE-,2.,Japan,"$108,862.81",21 Players
Guilty Gear -STRIVE-,3.,France,"$16,466.83",10 Players
Guilty Gear -STRIVE-,4.,Sweden,"$11,648.76",10 Players
Guilty Gear -STRIVE-,5.,"Korea, Republic of","$11,344.58",5 Players
Guilty Gear -STRIVE-,6.,Israel,"$7,801.59",1 Player
Guilty Gear -STRIVE-,7.,Canada,"$6,520.06",20 Players
Guilty Gear -STRIVE-,8.,United Kingdom,"$6,370.96",6 Players
Guilty Gear -STRIVE-,9.,Saudi Arabia,"$6,144.59",2 Players
Guilty Gear -STRIVE-,10.,Spain,"$5,812.81",5 Players
Guilty Gear -STRIVE-,11.,Brazil,"$3,498.76",10 Players
Guilty Gear -STRIVE-,12.,Mexico,"$3,338.45",6 Players
Guilty Gear -STRIVE-,13.,Germany,"$2,692.95",4 Players
Guilty Gear -STRIVE-,14.,Venezuela,"$2,000.00",1 Player
Guilty Gear -STRIVE-,15.,Puerto Rico,"$1,815.00",6 Players
Guilty Gear -STRIVE-,16.,Finland,"$1,700.41",4 Players
Guilty Gear -STRIVE-,17.,"Taiwan, Republic of China","$1,681.70",4 Players
Guilty Gear -STRIVE-,18.,Viet Nam,"$1,408.31",1 Player
Guilty Gear -STRIVE-,19.,Chile,$875.00,3 Players
Guilty Gear -STRIVE-,20.,Italy,$746.83,2 Players
Guilty Gear -STRIVE-,21.,Russian Federation,$618.44,1 Player
Guilty Gear -STRIVE-,22.,China,$600.00,1 Player
Guilty Gear -STRIVE-,23.,Netherlands,$470.33,1 Player
Guilty Gear -STRIVE-,24.,Senegal,$300.91,1 Player
Guilty Gear -STRIVE-,25.,Philippines,$236.84,2 Players
Guilty Gear -STRIVE-,26.,Panama,$231.23,1 Player
Guilty Gear -STRIVE-,27.,Singapore,$224.97,3 Players
Guilty Gear -STRIVE-,28.,Malaysia,$210.60,2 Players
Guilty Gear -STRIVE-,29.,Portugal,$186.94,1 Player
Guilty Gear -STRIVE-,30.,Norway,$158.71,1 Player
Guilty Gear -STRIVE-,31.,Dominican Republic,$100.00,1 Player
Guilty Gear -STRIVE-,32.,Bahrain,$81.59,1 Player
Guilty Gear -STRIVE-,33.,Ireland,$78.75,1 Player
Guilty Gear -STRIVE-,34.,Thailand,$66.00,1 Player
Guilty Gear -STRIVE-,35.,Australia,$64.11,1 Player
Guilty Gear -STRIVE-,36.,New Zealand,$21.37,1 Player
