rank,country,earning,players,tournaments
Guilty Gear Xrd REV 2,1.,Japan,"$71,752.66",20 Players
Guilty Gear Xrd REV 2,2.,United States,"$40,731.07",82 Players
Guilty Gear Xrd REV 2,3.,"Korea, Republic of","$6,285.00",1 Player
Guilty Gear Xrd REV 2,4.,Canada,"$5,229.05",23 Players
Guilty Gear Xrd REV 2,5.,Czech Republic,$891.70,1 Player
Guilty Gear Xrd REV 2,6.,France,$781.33,5 Players
Guilty Gear Xrd REV 2,7.,Denmark,$525.00,1 Player
Guilty Gear Xrd REV 2,8.,Romania,$67.99,1 Player
Guilty Gear Xrd REV 2,9.,Austria,$57.18,1 Player
Guilty Gear Xrd REV 2,10.,United Kingdom,$45.32,2 Players
Guilty Gear Xrd REV 2,11.,Norway,$33.00,1 Player
