rank,country,earning,players,tournaments
King of Fighters XIII,1.,Japan,"$13,287.80",5 Players
King of Fighters XIII,2.,Mexico,"$13,208.75",5 Players
King of Fighters XIII,3.,United States,"$12,632.13",71 Players
King of Fighters XIII,4.,China,"$2,004.00",2 Players
King of Fighters XIII,5.,Singapore,"$1,298.90",2 Players
King of Fighters XIII,6.,"Korea, Republic of",$852.90,4 Players
King of Fighters XIII,7.,"Taiwan, Republic of China",$823.00,1 Player
King of Fighters XIII,8.,Canada,$451.94,6 Players
King of Fighters XIII,9.,Chile,$295.15,3 Players
King of Fighters XIII,10.,Australia,$219.21,3 Players
King of Fighters XIII,11.,France,$213.50,2 Players
King of Fighters XIII,12.,Morocco,$91.00,1 Player
King of Fighters XIII,13.,Peru,$66.00,1 Player
