rank,country,earning,players,tournaments
King of Fighters XIV,1.,Japan,"$18,483.00",9 Players
King of Fighters XIV,2.,"Taiwan, Republic of China","$16,811.79",2 Players
King of Fighters XIV,3.,Pakistan,"$10,424.85",2 Players
King of Fighters XIV,4.,United States,"$8,841.79",46 Players
King of Fighters XIV,5.,China,"$8,069.31",2 Players
King of Fighters XIV,6.,Mexico,"$6,722.00",8 Players
King of Fighters XIV,7.,Morocco,"$1,936.90",2 Players
King of Fighters XIV,8.,Hong Kong,$754.09,1 Player
King of Fighters XIV,9.,France,$691.74,2 Players
King of Fighters XIV,10.,United Kingdom,$614.88,1 Player
King of Fighters XIV,11.,Canada,$425.73,6 Players
King of Fighters XIV,12.,Luxembourg,$307.44,1 Player
King of Fighters XIV,13.,Portugal,$65.20,1 Player
King of Fighters XIV,14.,Indonesia,$60.50,1 Player
King of Fighters XIV,15.,Spain,$43.47,2 Players
King of Fighters XIV,16.,United Arab Emirates,$15.20,1 Player
King of Fighters XIV,17.,Chile,$14.20,1 Player
