rank,country,earning,players,tournaments
King of Fighters XV,1.,Mexico,"$23,958.20",13 Players
King of Fighters XV,2.,United States,"$11,261.76",28 Players
King of Fighters XV,3.,"Taiwan, Republic of China","$9,038.95",5 Players
King of Fighters XV,4.,Pakistan,"$6,262.47",12 Players
King of Fighters XV,5.,Japan,"$5,554.35",7 Players
King of Fighters XV,6.,Brazil,"$5,004.21",12 Players
King of Fighters XV,7.,Malaysia,"$3,396.59",6 Players
King of Fighters XV,8.,Saudi Arabia,"$2,741.79",4 Players
King of Fighters XV,9.,"Korea, Republic of","$2,543.00",4 Players
King of Fighters XV,10.,Chile,"$2,242.93",3 Players
King of Fighters XV,11.,Morocco,"$1,344.40",2 Players
King of Fighters XV,12.,Puerto Rico,"$1,290.00",4 Players
King of Fighters XV,13.,Colombia,$993.45,2 Players
King of Fighters XV,14.,France,$933.45,6 Players
King of Fighters XV,15.,United Kingdom,$851.42,6 Players
King of Fighters XV,16.,United Arab Emirates,$812.38,1 Player
King of Fighters XV,17.,Peru,$707.92,2 Players
King of Fighters XV,18.,Thailand,$615.60,2 Players
King of Fighters XV,19.,Sweden,$444.19,1 Player
King of Fighters XV,20.,Argentina,$420.72,3 Players
King of Fighters XV,21.,Singapore,$415.84,2 Players
King of Fighters XV,22.,Oman,$304.64,1 Player
King of Fighters XV,23.,Hong Kong,$203.58,1 Player
King of Fighters XV,24.,Canada,$157.25,2 Players
King of Fighters XV,25.,Viet Nam,$102.60,1 Player
King of Fighters XV,26.,Qatar,$101.55,1 Player
King of Fighters XV,27.,Spain,$82.80,1 Player
King of Fighters XV,28.,Philippines,$78.27,6 Players
King of Fighters XV,29.,Australia,$70.12,1 Player
King of Fighters XV,30.,Trinidad and Tobago,$57.43,1 Player
King of Fighters XV,31.,New Zealand,$30.05,1 Player
