rank,country,earning,players,tournaments
Lethal League Blaze,1.,United States,"$1,704.23",12 Players
Lethal League Blaze,2.,Australia,"$1,353.02",1 Player
Lethal League Blaze,3.,United Kingdom,$975.28,2 Players
Lethal League Blaze,4.,France,$650.40,4 Players
Lethal League Blaze,5.,Greece,$379.28,1 Player
Lethal League Blaze,6.,Brazil,$264.00,1 Player
Lethal League Blaze,7.,Germany,$159.00,1 Player
Lethal League Blaze,8.,Argentina,$132.00,1 Player
Lethal League Blaze,9.,Portugal,$18.61,1 Player
Lethal League Blaze,10.,Switzerland,$8.10,1 Player
