rank,country,earning,players,tournaments
Mortal Kombat 11,1.,United States,"$347,994.50",132 Players
Mortal Kombat 11,2.,United Kingdom,"$56,157.61",15 Players
Mortal Kombat 11,3.,Bahrain,"$49,322.53",1 Player
Mortal Kombat 11,4.,Canada,"$34,878.45",16 Players
Mortal Kombat 11,5.,Brazil,"$25,660.60",14 Players
Mortal Kombat 11,6.,France,"$8,283.67",7 Players
Mortal Kombat 11,7.,Azerbaijan,"$7,525.00",1 Player
Mortal Kombat 11,8.,Chile,"$7,403.90",4 Players
Mortal Kombat 11,9.,Greece,"$6,643.45",3 Players
Mortal Kombat 11,10.,Russian Federation,"$6,175.00",5 Players
Mortal Kombat 11,11.,Dominican Republic,"$5,705.30",6 Players
Mortal Kombat 11,12.,Australia,"$4,478.19",6 Players
Mortal Kombat 11,13.,Armenia,"$4,334.60",1 Player
Mortal Kombat 11,14.,Italy,"$2,979.40",3 Players
Mortal Kombat 11,15.,Puerto Rico,"$1,273.40",4 Players
Mortal Kombat 11,16.,Austria,"$1,250.00",2 Players
Mortal Kombat 11,17.,Zambia,"$1,224.20",2 Players
Mortal Kombat 11,18.,Spain,"$1,210.25",2 Players
Mortal Kombat 11,19.,Saudi Arabia,"$1,200.00",1 Player
Mortal Kombat 11,20.,South Africa,$874.43,2 Players
Mortal Kombat 11,21.,Mexico,$660.00,3 Players
Mortal Kombat 11,22.,Israel,$450.00,1 Player
Mortal Kombat 11,23.,India,$212.70,4 Players
Mortal Kombat 11,24.,Ireland,$164.70,1 Player
Mortal Kombat 11,25.,"Palestine, State of",$150.00,1 Player
Mortal Kombat 11,26.,Colombia,$125.00,1 Player
Mortal Kombat 11,27.,Philippines,$53.66,5 Players
