rank,country,earning,players,tournaments
Mortal Kombat X,1.,United States,"$446,599.58",70 Players
Mortal Kombat X,2.,United Kingdom,"$73,254.63",2 Players
Mortal Kombat X,3.,Canada,"$22,066.24",10 Players
Mortal Kombat X,4.,Germany,"$5,912.97",1 Player
Mortal Kombat X,5.,Austria,"$5,000.00",1 Player
Mortal Kombat X,6.,Finland,"$5,000.00",1 Player
Mortal Kombat X,7.,France,"$1,521.61",1 Player
Mortal Kombat X,8.,Russian Federation,"$1,416.87",3 Players
Mortal Kombat X,9.,Australia,$947.94,7 Players
Mortal Kombat X,10.,Sweden,$608.65,1 Player
Mortal Kombat X,11.,Greece,$479.00,1 Player
Mortal Kombat X,12.,Dominican Republic,$275.60,1 Player
Mortal Kombat X,13.,Ukraine,$250.04,1 Player
