rank,country,earning,players,tournaments
Mortal Kombat XL,1.,United States,"$86,834.47",41 Players
Mortal Kombat XL,2.,Bahrain,"$15,819.55",1 Player
Mortal Kombat XL,3.,United Kingdom,"$12,646.70",1 Player
Mortal Kombat XL,4.,Pakistan,"$9,962.40",3 Players
Mortal Kombat XL,5.,Canada,"$2,385.56",3 Players
Mortal Kombat XL,6.,Sweden,"$2,267.90",1 Player
Mortal Kombat XL,7.,Brazil,"$1,905.00",1 Player
Mortal Kombat XL,8.,Germany,"$1,700.93",2 Players
Mortal Kombat XL,9.,Finland,$566.98,1 Player
Mortal Kombat XL,10.,Australia,$114.30,1 Player
