rank,country,earning,players,tournaments
Project M,1.,United States,"$164,361.47",549 Players
Project M,2.,Canada,"$11,567.16",83 Players
Project M,3.,United Kingdom,"$8,813.26",10 Players
Project M,4.,Chile,"$7,234.81",2 Players
Project M,5.,Sweden,"$5,317.87",8 Players
Project M,6.,Netherlands,"$1,782.11",27 Players
Project M,7.,France,"$1,576.68",12 Players
Project M,8.,Germany,"$1,291.91",26 Players
Project M,9.,Austria,$867.32,5 Players
Project M,10.,Spain,$786.35,7 Players
Project M,11.,Brazil,$619.27,5 Players
Project M,12.,Mexico,$421.60,5 Players
Project M,13.,Nicaragua,$324.38,1 Player
Project M,14.,Japan,$58.50,1 Player
Project M,15.,Saudi Arabia,$55.94,1 Player
Project M,16.,Luxembourg,$48.17,1 Player
Project M,17.,Denmark,$27.36,1 Player
Project M,18.,Dominican Republic,$24.74,1 Player
Project M,19.,Finland,$16.94,2 Players
Project M,20.,Aruba,$14.17,1 Player
