rank,country,earning,players,tournaments
Samurai Shodown (2019),1.,"Korea, Republic of","$28,374.00",1 Player
Samurai Shodown (2019),2.,Japan,"$22,798.37",10 Players
Samurai Shodown (2019),3.,United States,"$15,205.52",35 Players
Samurai Shodown (2019),4.,Brazil,"$3,103.77",5 Players
Samurai Shodown (2019),5.,France,"$1,623.45",4 Players
Samurai Shodown (2019),6.,United Kingdom,"$1,614.05",1 Player
Samurai Shodown (2019),7.,"Taiwan, Republic of China","$1,418.70",2 Players
Samurai Shodown (2019),8.,Canada,$971.05,6 Players
Samurai Shodown (2019),9.,Morocco,$768.60,1 Player
Samurai Shodown (2019),10.,Spain,$686.40,2 Players
Samurai Shodown (2019),11.,Dominican Republic,$430.20,2 Players
Samurai Shodown (2019),12.,Belgium,$384.30,1 Player
Samurai Shodown (2019),13.,Pakistan,$384.30,1 Player
Samurai Shodown (2019),14.,Costa Rica,$133.10,2 Players
Samurai Shodown (2019),15.,Mexico,$87.50,2 Players
