rank,country,earning,players,tournaments
Skullgirls 2nd Encore,1.,United States,"$35,455.22",48 Players
Skullgirls 2nd Encore,2.,Japan,"$6,733.50",6 Players
Skullgirls 2nd Encore,3.,Brazil,"$6,250.00",6 Players
Skullgirls 2nd Encore,4.,United Kingdom,"$3,125.00",2 Players
Skullgirls 2nd Encore,5.,Russian Federation,"$2,750.00",3 Players
Skullgirls 2nd Encore,6.,Canada,"$1,904.60",1 Player
Skullgirls 2nd Encore,7.,Poland,"$1,075.20",1 Player
Skullgirls 2nd Encore,8.,Germany,$625.00,2 Players
Skullgirls 2nd Encore,9.,Philippines,$600.00,1 Player
Skullgirls 2nd Encore,10.,Norway,$500.00,1 Player
Skullgirls 2nd Encore,11.,Peru,$500.00,1 Player
Skullgirls 2nd Encore,12.,"Taiwan, Republic of China",$300.00,1 Player
Skullgirls 2nd Encore,13.,Mexico,$281.00,2 Players
Skullgirls 2nd Encore,14.,Puerto Rico,$23.50,2 Players
