rank,country,earning,players,tournaments
Soul Calibur VI,1.,United States,"$97,435.38",70 Players
Soul Calibur VI,2.,France,"$42,860.40",18 Players
Soul Calibur VI,3.,Japan,"$15,375.28",5 Players
Soul Calibur VI,4.,Singapore,"$6,725.97",5 Players
Soul Calibur VI,5.,"Korea, Republic of","$6,636.65",4 Players
Soul Calibur VI,6.,Mexico,"$5,124.00",1 Player
Soul Calibur VI,7.,Canada,"$1,406.20",11 Players
Soul Calibur VI,8.,Dominican Republic,$575.80,3 Players
Soul Calibur VI,9.,Greece,$352.88,1 Player
Soul Calibur VI,10.,Puerto Rico,$113.85,2 Players
Soul Calibur VI,11.,Philippines,$49.70,4 Players
Soul Calibur VI,12.,Italy,$17.94,1 Player
Soul Calibur VI,13.,United Kingdom,$8.97,1 Player
Soul Calibur VI,14.,Malaysia,$4.25,1 Player
