rank,country,earning,players,tournaments
Street Fighter V Champion Edition,1.,Japan,"$407,245.20",47 Players
Street Fighter V Champion Edition,2.,United States,"$137,055.58",78 Players
Street Fighter V Champion Edition,3.,Australia,"$24,166.94",6 Players
Street Fighter V Champion Edition,4.,France,"$24,096.14",11 Players
Street Fighter V Champion Edition,5.,United Kingdom,"$21,966.43",13 Players
Street Fighter V Champion Edition,6.,Dominican Republic,"$20,239.13",7 Players
Street Fighter V Champion Edition,7.,China,"$19,023.68",6 Players
Street Fighter V Champion Edition,8.,Brazil,"$16,970.59",14 Players
Street Fighter V Champion Edition,9.,"Korea, Republic of","$16,617.63",6 Players
Street Fighter V Champion Edition,10.,Mexico,"$16,363.69",8 Players
Street Fighter V Champion Edition,11.,Singapore,"$15,529.82",3 Players
Street Fighter V Champion Edition,12.,Algeria,"$14,989.82",4 Players
Street Fighter V Champion Edition,13.,Argentina,"$14,035.42",3 Players
Street Fighter V Champion Edition,14.,"Taiwan, Republic of China","$12,632.83",4 Players
Street Fighter V Champion Edition,15.,Russian Federation,"$12,500.00",3 Players
Street Fighter V Champion Edition,16.,Norway,"$12,251.75",2 Players
Street Fighter V Champion Edition,17.,United Arab Emirates,"$10,379.63",2 Players
Street Fighter V Champion Edition,18.,Hong Kong,"$9,909.50",2 Players
Street Fighter V Champion Edition,19.,Belgium,"$9,091.00",1 Player
Street Fighter V Champion Edition,20.,Puerto Rico,"$8,981.65",4 Players
Street Fighter V Champion Edition,21.,Canada,"$7,792.86",14 Players
Street Fighter V Champion Edition,22.,Poland,"$6,800.00",4 Players
Street Fighter V Champion Edition,23.,Malaysia,"$6,121.19",4 Players
Street Fighter V Champion Edition,24.,Lithuania,"$5,000.00",1 Player
Street Fighter V Champion Edition,25.,South Africa,"$5,000.00",4 Players
Street Fighter V Champion Edition,26.,Sweden,"$3,766.98",4 Players
Street Fighter V Champion Edition,27.,Spain,"$3,608.95",1 Player
Street Fighter V Champion Edition,28.,Morocco,"$3,500.00",2 Players
Street Fighter V Champion Edition,29.,Thailand,"$3,141.10",3 Players
Street Fighter V Champion Edition,30.,Venezuela,"$3,000.00",1 Player
Street Fighter V Champion Edition,31.,Bulgaria,"$2,700.00",1 Player
Street Fighter V Champion Edition,32.,Indonesia,"$2,000.00",2 Players
Street Fighter V Champion Edition,33.,Italy,"$2,000.00",2 Players
Street Fighter V Champion Edition,34.,New Zealand,"$2,000.00",2 Players
Street Fighter V Champion Edition,35.,Philippines,"$1,619.28",6 Players
Street Fighter V Champion Edition,36.,Germany,"$1,514.36",3 Players
Street Fighter V Champion Edition,37.,Chile,"$1,500.00",2 Players
Street Fighter V Champion Edition,38.,French Polynesia,"$1,500.00",1 Player
Street Fighter V Champion Edition,39.,Finland,"$1,371.31",3 Players
Street Fighter V Champion Edition,40.,Panama,"$1,200.00",1 Player
Street Fighter V Champion Edition,41.,Kuwait,$663.24,2 Players
Street Fighter V Champion Edition,42.,Czech Republic,$500.00,1 Player
