rank,country,earning,players,tournaments
Street Fighter V,1.,United States,"$786,416.16",115 Players
Street Fighter V,2.,Japan,"$693,030.40",38 Players
Street Fighter V,3.,Dominican Republic,"$388,835.20",4 Players
Street Fighter V,4.,China,"$119,546.39",12 Players
Street Fighter V,5.,"Korea, Republic of","$107,447.70",7 Players
Street Fighter V,6.,United Kingdom,"$97,294.66",28 Players
Street Fighter V,7.,Norway,"$71,111.36",3 Players
Street Fighter V,8.,France,"$50,903.19",17 Players
Street Fighter V,9.,Canada,"$34,665.58",11 Players
Street Fighter V,10.,"Taiwan, Republic of China","$32,840.79",6 Players
Street Fighter V,11.,Brazil,"$32,748.53",14 Players
Street Fighter V,12.,Singapore,"$26,926.64",6 Players
Street Fighter V,13.,Puerto Rico,"$17,421.62",4 Players
Street Fighter V,14.,Hong Kong,"$13,127.58",9 Players
Street Fighter V,15.,Belgium,"$12,835.72",2 Players
Street Fighter V,16.,United Arab Emirates,"$7,408.36",1 Player
Street Fighter V,17.,Mexico,"$7,300.40",5 Players
Street Fighter V,18.,Sweden,"$7,016.01",7 Players
Street Fighter V,19.,Algeria,"$6,775.91",1 Player
Street Fighter V,20.,Spain,"$6,295.10",1 Player
Street Fighter V,21.,Panama,"$6,000.00",1 Player
Street Fighter V,22.,Ireland,"$4,921.63",1 Player
Street Fighter V,23.,Chile,"$4,827.21",5 Players
Street Fighter V,24.,Russian Federation,"$4,500.00",2 Players
Street Fighter V,25.,Australia,"$3,060.00",3 Players
Street Fighter V,26.,South Africa,"$3,000.00",2 Players
Street Fighter V,27.,Malaysia,"$2,350.00",2 Players
Street Fighter V,28.,Bulgaria,"$1,750.00",1 Player
Street Fighter V,29.,Argentina,"$1,500.00",1 Player
Street Fighter V,30.,Germany,"$1,500.00",1 Player
Street Fighter V,31.,Italy,"$1,500.00",1 Player
Street Fighter V,32.,Peru,"$1,500.00",1 Player
Street Fighter V,33.,Poland,"$1,500.00",1 Player
Street Fighter V,34.,Turkey,"$1,375.00",2 Players
Street Fighter V,35.,Netherlands,"$1,012.32",3 Players
Street Fighter V,36.,Viet Nam,"$1,000.00",1 Player
Street Fighter V,37.,Indonesia,$900.00,2 Players
Street Fighter V,38.,Finland,$750.00,2 Players
Street Fighter V,39.,Lithuania,$625.00,2 Players
Street Fighter V,40.,Colombia,$296.32,2 Players
Street Fighter V,41.,Côte D'Ivoire,$250.00,1 Player
Street Fighter V,42.,Venezuela,$125.00,1 Player
Street Fighter V,43.,Thailand,$85.38,3 Players
Street Fighter V,44.,Denmark,$70.80,1 Player
