rank,country,earning,players,tournaments
Street Fighter X Tekken,1.,"Korea, Republic of","$32,667.58",3 Players
Street Fighter X Tekken,2.,United States,"$29,245.10",106 Players
Street Fighter X Tekken,3.,Japan,"$16,454.50",9 Players
Street Fighter X Tekken,4.,"Taiwan, Republic of China","$1,700.00",1 Player
Street Fighter X Tekken,5.,Norway,$861.30,3 Players
Street Fighter X Tekken,6.,Puerto Rico,$400.00,1 Player
Street Fighter X Tekken,7.,France,$304.50,2 Players
Street Fighter X Tekken,8.,United Kingdom,$300.00,1 Player
Street Fighter X Tekken,9.,Italy,$300.00,1 Player
Street Fighter X Tekken,10.,Viet Nam,$85.50,1 Player
Street Fighter X Tekken,11.,Canada,$0.00,1 Player
