rank,country,earning,players,tournaments
Super Smash Bros. Brawl,1.,United States,"$198,726.12",551 Players
Super Smash Bros. Brawl,2.,Canada,"$32,741.25",82 Players
Super Smash Bros. Brawl,3.,Japan,"$9,773.73",19 Players
Super Smash Bros. Brawl,4.,Chile,"$3,735.30",1 Player
Super Smash Bros. Brawl,5.,Germany,$927.86,9 Players
Super Smash Bros. Brawl,6.,Finland,$683.35,6 Players
Super Smash Bros. Brawl,7.,France,$544.40,6 Players
Super Smash Bros. Brawl,8.,Netherlands,$513.05,1 Player
Super Smash Bros. Brawl,9.,Spain,$106.04,3 Players
Super Smash Bros. Brawl,10.,Argentina,$97.94,5 Players
Super Smash Bros. Brawl,11.,Sweden,$93.25,2 Players
Super Smash Bros. Brawl,12.,Austria,$26.80,2 Players
