rank,country,earning,players,tournaments
Super Smash Bros. Melee,1.,United States,"$2,728,579.30",1738 Players
Super Smash Bros. Melee,2.,Sweden,"$495,005.16",61 Players
Super Smash Bros. Melee,3.,Canada,"$85,075.82",281 Players
Super Smash Bros. Melee,4.,Germany,"$56,264.13",104 Players
Super Smash Bros. Melee,5.,United Kingdom,"$37,479.34",53 Players
Super Smash Bros. Melee,6.,Nicaragua,"$35,002.64",1 Player
Super Smash Bros. Melee,7.,Japan,"$28,823.32",29 Players
Super Smash Bros. Melee,8.,Spain,"$27,159.25",30 Players
Super Smash Bros. Melee,9.,Netherlands,"$22,775.37",33 Players
Super Smash Bros. Melee,10.,Mexico,"$11,730.17",32 Players
Super Smash Bros. Melee,11.,France,"$10,348.78",75 Players
Super Smash Bros. Melee,12.,Australia,"$7,074.41",35 Players
Super Smash Bros. Melee,13.,Austria,"$4,042.59",37 Players
Super Smash Bros. Melee,14.,Chile,"$3,916.42",15 Players
Super Smash Bros. Melee,15.,Norway,"$3,615.20",29 Players
Super Smash Bros. Melee,16.,Venezuela,"$2,594.00",4 Players
Super Smash Bros. Melee,17.,New Zealand,"$2,537.77",1 Player
Super Smash Bros. Melee,18.,Panama,"$2,100.00",1 Player
Super Smash Bros. Melee,19.,Switzerland,"$1,905.72",17 Players
Super Smash Bros. Melee,20.,Finland,"$1,817.63",23 Players
Super Smash Bros. Melee,21.,Puerto Rico,"$1,202.20",5 Players
Super Smash Bros. Melee,22.,Brazil,$995.02,11 Players
Super Smash Bros. Melee,23.,Denmark,$512.92,6 Players
Super Smash Bros. Melee,24.,Russian Federation,$468.35,1 Player
Super Smash Bros. Melee,25.,Argentina,$272.59,11 Players
Super Smash Bros. Melee,26.,Ireland,$165.47,1 Player
Super Smash Bros. Melee,27.,Italy,$159.73,1 Player
Super Smash Bros. Melee,28.,Israel,$115.37,3 Players
Super Smash Bros. Melee,29.,Greece,$88.83,1 Player
Super Smash Bros. Melee,30.,Belgium,$58.48,1 Player
Super Smash Bros. Melee,31.,Uzbekistan,$53.43,1 Player
Super Smash Bros. Melee,32.,Costa Rica,$30.26,1 Player
Super Smash Bros. Melee,33.,Dominican Republic,$17.20,1 Player
Super Smash Bros. Melee,34.,India,$13.00,1 Player
Super Smash Bros. Melee,35.,Luxembourg,$9.14,1 Player
Super Smash Bros. Melee,36.,Saudi Arabia,$7.45,1 Player
