rank,country,earning,players,tournaments
Super Smash Bros. Ultimate,1.,United States,"$1,288,493.99",1394 Players
Super Smash Bros. Ultimate,2.,Mexico,"$347,346.45",93 Players
Super Smash Bros. Ultimate,3.,France,"$210,546.57",197 Players
Super Smash Bros. Ultimate,4.,Canada,"$152,517.64",228 Players
Super Smash Bros. Ultimate,5.,Japan,"$111,347.04",35 Players
Super Smash Bros. Ultimate,6.,Germany,"$60,204.72",138 Players
Super Smash Bros. Ultimate,7.,United Kingdom,"$59,853.92",149 Players
Super Smash Bros. Ultimate,8.,Dominican Republic,"$54,922.34",14 Players
Super Smash Bros. Ultimate,9.,Netherlands,"$38,910.06",76 Players
Super Smash Bros. Ultimate,10.,Spain,"$30,304.76",90 Players
Super Smash Bros. Ultimate,11.,Austria,"$14,901.01",24 Players
Super Smash Bros. Ultimate,12.,Italy,"$9,267.48",72 Players
Super Smash Bros. Ultimate,13.,India,"$8,776.37",26 Players
Super Smash Bros. Ultimate,14.,Sweden,"$7,941.21",21 Players
Super Smash Bros. Ultimate,15.,Norway,"$7,032.08",26 Players
Super Smash Bros. Ultimate,16.,Guatemala,"$7,002.50",1 Player
Super Smash Bros. Ultimate,17.,Switzerland,"$6,886.94",19 Players
Super Smash Bros. Ultimate,18.,Australia,"$6,476.06",32 Players
Super Smash Bros. Ultimate,19.,Finland,"$6,302.63",26 Players
Super Smash Bros. Ultimate,20.,Ecuador,"$5,088.13",8 Players
Super Smash Bros. Ultimate,21.,Belgium,"$4,895.89",21 Players
Super Smash Bros. Ultimate,22.,Chile,"$4,705.11",37 Players
Super Smash Bros. Ultimate,23.,China,"$4,160.71",12 Players
Super Smash Bros. Ultimate,24.,New Zealand,"$3,819.20",3 Players
Super Smash Bros. Ultimate,25.,Qatar,"$3,317.54",4 Players
Super Smash Bros. Ultimate,26.,Saudi Arabia,"$3,292.90",5 Players
Super Smash Bros. Ultimate,27.,Brazil,"$3,206.57",28 Players
Super Smash Bros. Ultimate,28.,Luxembourg,"$2,221.11",13 Players
Super Smash Bros. Ultimate,29.,Colombia,"$1,693.50",8 Players
Super Smash Bros. Ultimate,30.,Greece,"$1,635.04",11 Players
Super Smash Bros. Ultimate,31.,Puerto Rico,"$1,007.78",6 Players
Super Smash Bros. Ultimate,32.,Hong Kong,$992.08,4 Players
Super Smash Bros. Ultimate,33.,Iraq,$956.34,1 Player
Super Smash Bros. Ultimate,34.,Kuwait,$824.18,1 Player
Super Smash Bros. Ultimate,35.,Costa Rica,$665.38,5 Players
Super Smash Bros. Ultimate,36.,Denmark,$606.90,2 Players
Super Smash Bros. Ultimate,37.,Philippines,$514.54,1 Player
Super Smash Bros. Ultimate,38.,United Arab Emirates,$408.00,3 Players
Super Smash Bros. Ultimate,39.,Israel,$312.43,11 Players
Super Smash Bros. Ultimate,40.,Sri Lanka,$285.14,1 Player
Super Smash Bros. Ultimate,41.,"Taiwan, Republic of China",$284.09,1 Player
Super Smash Bros. Ultimate,42.,Peru,$283.40,7 Players
Super Smash Bros. Ultimate,43.,Panama,$282.51,6 Players
Super Smash Bros. Ultimate,44.,Thailand,$279.12,4 Players
Super Smash Bros. Ultimate,45.,Lebanon,$230.00,1 Player
Super Smash Bros. Ultimate,46.,Indonesia,$197.15,10 Players
Super Smash Bros. Ultimate,47.,Jamaica,$188.63,1 Player
Super Smash Bros. Ultimate,48.,Ireland,$133.19,2 Players
Super Smash Bros. Ultimate,49.,Singapore,$130.08,1 Player
Super Smash Bros. Ultimate,50.,Portugal,$124.30,3 Players
Super Smash Bros. Ultimate,51.,Argentina,$113.17,2 Players
Super Smash Bros. Ultimate,52.,"Korea, Republic of",$97.55,7 Players
Super Smash Bros. Ultimate,53.,Turkey,$88.75,1 Player
Super Smash Bros. Ultimate,54.,Venezuela,$79.50,3 Players
Super Smash Bros. Ultimate,55.,Honduras,$76.87,4 Players
Super Smash Bros. Ultimate,56.,Andorra,$73.62,1 Player
Super Smash Bros. Ultimate,57.,Russian Federation,$54.97,3 Players
Super Smash Bros. Ultimate,58.,Poland,$51.25,5 Players
Super Smash Bros. Ultimate,59.,South Africa,$49.89,1 Player
Super Smash Bros. Ultimate,60.,Lithuania,$9.76,2 Players
Super Smash Bros. Ultimate,61.,Hungary,$5.50,1 Player
Super Smash Bros. Ultimate,62.,Uruguay,$5.00,1 Player
