rank,country,earning,players,tournaments
Super Smash Bros. for Wii U,1.,United States,"$879,917.51",1104 Players
Super Smash Bros. for Wii U,2.,Chile,"$171,396.32",3 Players
Super Smash Bros. for Wii U,3.,Canada,"$115,135.52",115 Players
Super Smash Bros. for Wii U,4.,Mexico,"$111,458.53",26 Players
Super Smash Bros. for Wii U,5.,Japan,"$85,845.94",39 Players
Super Smash Bros. for Wii U,6.,Netherlands,"$47,602.01",29 Players
Super Smash Bros. for Wii U,7.,France,"$23,368.03",48 Players
Super Smash Bros. for Wii U,8.,United Kingdom,"$21,158.09",64 Players
Super Smash Bros. for Wii U,9.,Germany,"$16,186.81",35 Players
Super Smash Bros. for Wii U,10.,Spain,"$13,209.72",56 Players
Super Smash Bros. for Wii U,11.,Australia,"$7,853.05",37 Players
Super Smash Bros. for Wii U,12.,Norway,"$2,712.31",16 Players
Super Smash Bros. for Wii U,13.,United Arab Emirates,"$2,436.64",3 Players
Super Smash Bros. for Wii U,14.,Kuwait,"$2,178.00",1 Player
Super Smash Bros. for Wii U,15.,Puerto Rico,"$2,167.00",8 Players
Super Smash Bros. for Wii U,16.,Argentina,"$2,116.69",21 Players
Super Smash Bros. for Wii U,17.,Sweden,"$1,955.16",25 Players
Super Smash Bros. for Wii U,18.,Switzerland,"$1,689.76",12 Players
Super Smash Bros. for Wii U,19.,Brazil,"$1,347.58",13 Players
Super Smash Bros. for Wii U,20.,Saudi Arabia,"$1,326.61",1 Player
Super Smash Bros. for Wii U,21.,Italy,$475.26,21 Players
Super Smash Bros. for Wii U,22.,Finland,$414.22,15 Players
Super Smash Bros. for Wii U,23.,Venezuela,$366.49,2 Players
Super Smash Bros. for Wii U,24.,Colombia,$316.13,6 Players
Super Smash Bros. for Wii U,25.,Austria,$280.98,2 Players
Super Smash Bros. for Wii U,26.,Lebanon,$265.32,1 Player
Super Smash Bros. for Wii U,27.,Belgium,$200.41,4 Players
Super Smash Bros. for Wii U,28.,Andorra,$151.93,2 Players
Super Smash Bros. for Wii U,29.,Guatemala,$105.00,1 Player
Super Smash Bros. for Wii U,30.,Dominican Republic,$90.00,1 Player
Super Smash Bros. for Wii U,31.,Peru,$82.60,1 Player
Super Smash Bros. for Wii U,32.,Ecuador,$48.00,1 Player
Super Smash Bros. for Wii U,33.,Costa Rica,$30.00,1 Player
Super Smash Bros. for Wii U,34.,Paraguay,$20.65,1 Player
Super Smash Bros. for Wii U,35.,"Korea, Republic of",$17.40,1 Player
