rank,country,earning,players,tournaments
Super Street Fighter IV Arcade Edition,1.,Japan,"$171,355.02",18 Players
Super Street Fighter IV Arcade Edition,2.,United States,"$68,694.44",102 Players
Super Street Fighter IV Arcade Edition,3.,"Korea, Republic of","$45,104.36",8 Players
Super Street Fighter IV Arcade Edition,4.,Sweden,"$16,969.77",9 Players
Super Street Fighter IV Arcade Edition,5.,Singapore,"$11,570.07",2 Players
Super Street Fighter IV Arcade Edition,6.,United Kingdom,"$10,040.83",3 Players
Super Street Fighter IV Arcade Edition,7.,"Taiwan, Republic of China","$7,533.32",1 Player
Super Street Fighter IV Arcade Edition,8.,China,"$6,875.33",5 Players
Super Street Fighter IV Arcade Edition,9.,France,"$5,034.15",4 Players
Super Street Fighter IV Arcade Edition,10.,Saudi Arabia,"$4,227.00",1 Player
Super Street Fighter IV Arcade Edition,11.,Canada,"$2,249.11",16 Players
Super Street Fighter IV Arcade Edition,12.,Hong Kong,"$2,000.00",1 Player
Super Street Fighter IV Arcade Edition,13.,Puerto Rico,"$1,917.29",3 Players
Super Street Fighter IV Arcade Edition,14.,Netherlands,"$1,131.88",1 Player
Super Street Fighter IV Arcade Edition,15.,Finland,$223.28,2 Players
Super Street Fighter IV Arcade Edition,16.,Brazil,$216.85,1 Player
Super Street Fighter IV Arcade Edition,17.,Viet Nam,$163.00,1 Player
