rank,country,earning,players,tournaments
Tekken 7,1.,"Korea, Republic of","$1,280,281.35",65 Players
Tekken 7,2.,Pakistan,"$745,485.73",42 Players
Tekken 7,3.,Japan,"$548,582.53",49 Players
Tekken 7,4.,United States,"$475,997.78",220 Players
Tekken 7,5.,France,"$84,735.31",22 Players
Tekken 7,6.,United Kingdom,"$79,293.81",21 Players
Tekken 7,7.,Thailand,"$64,368.73",12 Players
Tekken 7,8.,Italy,"$52,862.54",14 Players
Tekken 7,9.,Philippines,"$42,818.48",10 Players
Tekken 7,10.,Saudi Arabia,"$30,360.01",12 Players
Tekken 7,11.,Peru,"$27,600.20",11 Players
Tekken 7,12.,Australia,"$23,696.28",14 Players
Tekken 7,13.,Germany,"$22,006.10",11 Players
Tekken 7,14.,Spain,"$16,974.36",13 Players
Tekken 7,15.,India,"$10,832.91",14 Players
Tekken 7,16.,Ireland,"$10,215.30",2 Players
Tekken 7,17.,Bolivia,"$9,500.00",5 Players
Tekken 7,18.,Côte D'Ivoire,"$7,200.00",3 Players
Tekken 7,19.,Denmark,"$7,000.00",1 Player
Tekken 7,20.,South Africa,"$6,850.00",3 Players
Tekken 7,21.,Switzerland,"$6,839.60",1 Player
Tekken 7,22.,Mexico,"$5,772.55",5 Players
Tekken 7,23.,Dominican Republic,"$5,176.30",6 Players
Tekken 7,24.,Kuwait,"$5,150.00",2 Players
Tekken 7,25.,Russian Federation,"$4,875.00",10 Players
Tekken 7,26.,Tunisia,"$3,920.00",2 Players
Tekken 7,27.,Poland,"$3,850.00",4 Players
Tekken 7,28.,Puerto Rico,"$3,714.83",6 Players
Tekken 7,29.,Canada,"$3,205.79",24 Players
Tekken 7,30.,Jordan,"$3,000.00",3 Players
Tekken 7,31.,Venezuela,"$2,553.05",3 Players
Tekken 7,32.,Madagascar,"$2,400.00",3 Players
Tekken 7,33.,Netherlands,"$2,250.00",1 Player
Tekken 7,34.,Finland,"$2,152.34",8 Players
Tekken 7,35.,Singapore,"$2,136.20",1 Player
Tekken 7,36.,Brazil,"$1,858.21",8 Players
Tekken 7,37.,Malaysia,"$1,821.19",3 Players
Tekken 7,38.,Georgia,"$1,600.00",1 Player
Tekken 7,39.,Panama,"$1,374.73",2 Players
Tekken 7,40.,Guatemala,"$1,250.00",1 Player
Tekken 7,41.,Morocco,"$1,200.00",1 Player
Tekken 7,42.,Togo,"$1,200.00",1 Player
Tekken 7,43.,Hungary,"$1,000.00",1 Player
Tekken 7,44.,Greece,$956.31,3 Players
Tekken 7,45.,Egypt,$780.00,1 Player
Tekken 7,46.,Sweden,$655.27,6 Players
Tekken 7,47.,Chile,$625.00,3 Players
Tekken 7,48.,Bahrain,$511.25,1 Player
Tekken 7,49.,Argentina,$500.00,1 Player
Tekken 7,50.,Lebanon,$500.00,1 Player
Tekken 7,51.,Indonesia,$400.00,2 Players
Tekken 7,52.,Belgium,$396.07,2 Players
Tekken 7,53.,"Taiwan, Republic of China",$351.17,3 Players
Tekken 7,54.,Malta,$329.39,3 Players
Tekken 7,55.,Kenya,$150.00,1 Player
Tekken 7,56.,Uruguay,$125.00,1 Player
Tekken 7,57.,Yemen,$120.00,1 Player
Tekken 7,58.,Cambodia,$40.00,1 Player
Tekken 7,59.,Belarus,$0.00,1 Player
