rank,country,earning,players,tournaments
Tekken Tag Tournament 2,1.,"Korea, Republic of","$61,431.00",7 Players
Tekken Tag Tournament 2,2.,United States,"$24,754.30",103 Players
Tekken Tag Tournament 2,3.,Japan,"$4,871.00",3 Players
Tekken Tag Tournament 2,4.,Finland,"$4,134.25",6 Players
Tekken Tag Tournament 2,5.,Denmark,"$3,000.00",1 Player
Tekken Tag Tournament 2,6.,Russian Federation,"$3,000.00",2 Players
Tekken Tag Tournament 2,7.,United Kingdom,"$2,061.51",9 Players
Tekken Tag Tournament 2,8.,Indonesia,"$2,000.00",1 Player
Tekken Tag Tournament 2,9.,Romania,"$2,000.00",1 Player
Tekken Tag Tournament 2,10.,France,"$1,500.00",3 Players
Tekken Tag Tournament 2,11.,Serbia,"$1,500.00",1 Player
Tekken Tag Tournament 2,12.,Australia,"$1,000.00",1 Player
Tekken Tag Tournament 2,13.,Kazakhstan,"$1,000.00",3 Players
Tekken Tag Tournament 2,14.,Netherlands,"$1,000.00",1 Player
Tekken Tag Tournament 2,15.,Poland,"$1,000.00",1 Player
Tekken Tag Tournament 2,16.,Bahrain,$500.00,1 Player
Tekken Tag Tournament 2,17.,Spain,$500.00,1 Player
Tekken Tag Tournament 2,18.,India,$500.00,1 Player
Tekken Tag Tournament 2,19.,Italy,$500.00,1 Player
Tekken Tag Tournament 2,20.,Norway,$500.00,1 Player
Tekken Tag Tournament 2,21.,Sweden,$500.00,1 Player
Tekken Tag Tournament 2,22.,Pakistan,$325.60,8 Players
Tekken Tag Tournament 2,23.,Canada,$45.64,3 Players
Tekken Tag Tournament 2,24.,"Taiwan, Republic of China",$0.00,1 Player
