rank,country,earning,players,tournaments
Ultimate Marvel vs. Capcom 3,1.,United States,"$130,934.89",195 Players
Ultimate Marvel vs. Capcom 3,2.,Chile,"$9,469.73",1 Player
Ultimate Marvel vs. Capcom 3,3.,Canada,"$4,265.50",10 Players
Ultimate Marvel vs. Capcom 3,4.,Puerto Rico,"$1,368.63",1 Player
Ultimate Marvel vs. Capcom 3,5.,Japan,$923.30,11 Players
Ultimate Marvel vs. Capcom 3,6.,Peru,$711.50,2 Players
Ultimate Marvel vs. Capcom 3,7.,Mexico,$408.00,3 Players
Ultimate Marvel vs. Capcom 3,8.,Australia,$372.50,4 Players
Ultimate Marvel vs. Capcom 3,9.,United Kingdom,$372.14,7 Players
Ultimate Marvel vs. Capcom 3,10.,France,$182.00,2 Players
Ultimate Marvel vs. Capcom 3,11.,Viet Nam,$101.40,1 Player
Ultimate Marvel vs. Capcom 3,12.,Malaysia,$0.00,1 Player
Ultimate Marvel vs. Capcom 3,13.,Netherlands,$0.00,1 Player
