rank,country,earning,players,tournaments
Ultra Street Fighter IV,1.,Japan,"$460,748.79",37 Players
Ultra Street Fighter IV,2.,United States,"$89,679.26",135 Players
Ultra Street Fighter IV,3.,Singapore,"$70,987.11",3 Players
Ultra Street Fighter IV,4.,France,"$50,045.37",7 Players
Ultra Street Fighter IV,5.,"Korea, Republic of","$48,454.82",7 Players
Ultra Street Fighter IV,6.,"Taiwan, Republic of China","$28,384.90",2 Players
Ultra Street Fighter IV,7.,United Kingdom,"$19,691.12",18 Players
Ultra Street Fighter IV,8.,Sweden,"$8,285.57",8 Players
Ultra Street Fighter IV,9.,China,"$6,194.70",5 Players
Ultra Street Fighter IV,10.,Brazil,"$5,925.92",1 Player
Ultra Street Fighter IV,11.,Puerto Rico,"$5,389.75",3 Players
Ultra Street Fighter IV,12.,Hong Kong,"$4,042.85",1 Player
Ultra Street Fighter IV,13.,Norway,"$3,898.15",2 Players
Ultra Street Fighter IV,14.,Finland,"$3,000.00",1 Player
Ultra Street Fighter IV,15.,Malaysia,"$2,455.75",3 Players
Ultra Street Fighter IV,16.,Canada,"$2,133.86",18 Players
Ultra Street Fighter IV,17.,Romania,"$2,000.00",1 Player
Ultra Street Fighter IV,18.,Saudi Arabia,"$1,500.00",1 Player
Ultra Street Fighter IV,19.,Kuwait,"$1,250.00",2 Players
Ultra Street Fighter IV,20.,Australia,"$1,135.10",6 Players
Ultra Street Fighter IV,21.,Netherlands,$951.83,1 Player
Ultra Street Fighter IV,22.,Mexico,$542.00,1 Player
Ultra Street Fighter IV,23.,Belgium,$6.00,1 Player
