game,rank,country,earning,players
Battalion 1944,1.,United States,"$54,333.30",45 Players
Battalion 1944,2.,United Kingdom,"$27,630.59",16 Players
Battalion 1944,3.,Finland,"$27,146.09",6 Players
Battalion 1944,4.,Netherlands,"$24,304.78",16 Players
Battalion 1944,5.,Canada,"$14,316.66",7 Players
Battalion 1944,6.,Bosnia and Herzegovina,"$12,028.92",2 Players
Battalion 1944,7.,Germany,"$11,919.51",6 Players
Battalion 1944,8.,Hungary,"$6,910.89",3 Players
Battalion 1944,9.,Sweden,"$5,502.44",4 Players
Battalion 1944,10.,Belgium,"$4,046.24",3 Players
Battalion 1944,11.,France,"$3,551.04",5 Players
Battalion 1944,12.,Czech Republic,"$2,902.68",7 Players
Battalion 1944,13.,Croatia,"$2,303.63",1 Player
Battalion 1944,14.,Malta,"$1,228.55",10 Players
Battalion 1944,15.,Ukraine,"$1,121.01",1 Player
Battalion 1944,16.,Poland,$467.48,1 Player
Battalion 1944,17.,Portugal,$200.00,1 Player
Battalion 1944,18.,Ireland,$150.00,1 Player
