game,rank,country,earning,players
Battlefield 4,1.,France,"$42,107.00",24 Players
Battlefield 4,2.,Netherlands,"$40,148.57",8 Players
Battlefield 4,3.,Sweden,"$20,728.95",11 Players
Battlefield 4,4.,South Africa,"$18,838.25",65 Players
Battlefield 4,5.,Russian Federation,"$18,578.22",2 Players
Battlefield 4,6.,Estonia,"$17,496.59",1 Player
Battlefield 4,7.,Brazil,"$15,434.25",15 Players
Battlefield 4,8.,Hungary,"$10,543.39",3 Players
Battlefield 4,9.,Belgium,"$10,008.25",3 Players
Battlefield 4,10.,Finland,"$5,675.72",4 Players
Battlefield 4,11.,Denmark,"$5,470.30",2 Players
Battlefield 4,12.,United Kingdom,"$5,422.85",16 Players
Battlefield 4,13.,Germany,"$4,557.74",18 Players
Battlefield 4,14.,Portugal,"$4,217.96",1 Player
Battlefield 4,15.,Poland,"$3,439.29",4 Players
Battlefield 4,16.,Japan,"$2,658.95",16 Players
Battlefield 4,17.,Norway,"$2,443.41",1 Player
Battlefield 4,18.,Spain,"$2,273.08",1 Player
Battlefield 4,19.,Switzerland,$854.22,2 Players
Battlefield 4,20.,United States,$800.00,4 Players
Battlefield 4,21.,"Korea, Republic of",$200.00,1 Player
Battlefield 4,22.,Italy,$130.95,1 Player
Battlefield 4,23.,Serbia,$21.48,1 Player
