game,rank,country,earning,players
Black Squad,1.,Russian Federation,"$1,689.79",5 Players
Black Squad,2.,Germany,"$1,329.26",16 Players
Black Squad,3.,Finland,"$1,308.53",7 Players
Black Squad,4.,Netherlands,$875.58,3 Players
Black Squad,5.,Ukraine,$810.69,2 Players
Black Squad,6.,Austria,$696.00,1 Player
Black Squad,7.,Morocco,$582.54,1 Player
Black Squad,8.,Turkey,$238.69,6 Players
Black Squad,9.,France,$232.96,2 Players
Black Squad,10.,Estonia,$182.01,1 Player
Black Squad,11.,Sweden,$170.94,3 Players
Black Squad,12.,Kazakhstan,$148.94,1 Player
Black Squad,13.,Poland,$68.20,4 Players
Black Squad,14.,Lithuania,$65.92,1 Player
Black Squad,15.,Israel,$31.74,1 Player
Black Squad,16.,Italy,$17.29,1 Player
Black Squad,17.,Brazil,$17.17,1 Player
Black Squad,18.,United Kingdom,$14.46,1 Player
