game,rank,country,earning,players
Call of Duty 4 Modern Warfare,1.,United Kingdom,"$105,189.12",151 Players
Call of Duty 4 Modern Warfare,2.,United States,"$61,552.69",39 Players
Call of Duty 4 Modern Warfare,3.,Netherlands,"$42,483.77",36 Players
Call of Duty 4 Modern Warfare,4.,Sweden,"$28,990.46",16 Players
Call of Duty 4 Modern Warfare,5.,Canada,"$18,656.36",4 Players
Call of Duty 4 Modern Warfare,6.,Belgium,"$13,667.54",4 Players
Call of Duty 4 Modern Warfare,7.,Germany,"$11,777.96",73 Players
Call of Duty 4 Modern Warfare,8.,Malta,"$9,199.68",23 Players
Call of Duty 4 Modern Warfare,9.,Czech Republic,"$8,338.61",11 Players
Call of Duty 4 Modern Warfare,10.,Norway,"$7,091.13",3 Players
Call of Duty 4 Modern Warfare,11.,Finland,"$6,285.02",24 Players
Call of Duty 4 Modern Warfare,12.,Hungary,"$3,092.61",6 Players
Call of Duty 4 Modern Warfare,13.,Spain,"$2,457.80",5 Players
Call of Duty 4 Modern Warfare,14.,Denmark,"$1,118.80",7 Players
Call of Duty 4 Modern Warfare,15.,Austria,"$1,013.32",3 Players
Call of Duty 4 Modern Warfare,16.,Argentina,$765.80,10 Players
Call of Duty 4 Modern Warfare,17.,Ireland,$744.60,4 Players
Call of Duty 4 Modern Warfare,18.,Slovenia,$627.30,1 Player
Call of Duty 4 Modern Warfare,19.,Estonia,$583.90,1 Player
Call of Duty 4 Modern Warfare,20.,Italy,$503.05,2 Players
Call of Duty 4 Modern Warfare,21.,Switzerland,$427.86,2 Players
Call of Duty 4 Modern Warfare,22.,Turkey,$402.40,2 Players
Call of Duty 4 Modern Warfare,23.,Bosnia and Herzegovina,$319.95,1 Player
Call of Duty 4 Modern Warfare,24.,Poland,$290.16,2 Players
Call of Duty 4 Modern Warfare,25.,Slovakia,$124.53,1 Player
Call of Duty 4 Modern Warfare,26.,South Africa,$106.97,1 Player
Call of Duty 4 Modern Warfare,27.,France,$99.23,1 Player
Call of Duty 4 Modern Warfare,28.,Russian Federation,$79.73,1 Player
Call of Duty 4 Modern Warfare,29.,Morocco,$13.93,1 Player
Call of Duty 4 Modern Warfare,30.,Serbia,$9.55,1 Player
