game,rank,country,earning,players
Call of Duty Black Ops 4,1.,United States,"$4,752,234.52",212 Players
Call of Duty Black Ops 4,2.,United Kingdom,"$890,897.39",70 Players
Call of Duty Black Ops 4,3.,Canada,"$366,045.86",25 Players
Call of Duty Black Ops 4,4.,Spain,"$172,372.10",38 Players
Call of Duty Black Ops 4,5.,Australia,"$118,517.33",43 Players
Call of Duty Black Ops 4,6.,Japan,"$96,147.00",20 Players
Call of Duty Black Ops 4,7.,France,"$86,136.95",29 Players
Call of Duty Black Ops 4,8.,Afghanistan,"$73,870.60",1 Player
Call of Duty Black Ops 4,9.,Ireland,"$54,125.00",1 Player
Call of Duty Black Ops 4,10.,Saudi Arabia,"$35,070.00",1 Player
Call of Duty Black Ops 4,11.,Italy,"$24,212.50",6 Players
Call of Duty Black Ops 4,12.,Germany,"$10,200.00",5 Players
Call of Duty Black Ops 4,13.,Denmark,"$8,700.00",1 Player
Call of Duty Black Ops 4,14.,Singapore,"$5,600.00",4 Players
Call of Duty Black Ops 4,15.,Malaysia,"$4,800.00",2 Players
Call of Duty Black Ops 4,16.,South Africa,"$3,250.00",15 Players
Call of Duty Black Ops 4,17.,Philippines,"$2,400.00",1 Player
Call of Duty Black Ops 4,18.,Belgium,$850.00,2 Players
Call of Duty Black Ops 4,19.,New Zealand,$688.50,2 Players
Call of Duty Black Ops 4,20.,Portugal,$567.80,5 Players
Call of Duty Black Ops 4,21.,"Korea, Republic of",$400.00,2 Players
