game,rank,country,earning,players
Call of Duty Ghosts,1.,United States,"$1,136,779.78",77 Players
Call of Duty Ghosts,2.,Canada,"$208,514.26",9 Players
Call of Duty Ghosts,3.,Australia,"$79,612.52",17 Players
Call of Duty Ghosts,4.,United Kingdom,"$72,519.53",33 Players
Call of Duty Ghosts,5.,France,"$24,088.27",22 Players
Call of Duty Ghosts,6.,Spain,"$8,354.48",30 Players
Call of Duty Ghosts,7.,Ireland,"$7,821.51",1 Player
Call of Duty Ghosts,8.,Bulgaria,$982.88,2 Players
Call of Duty Ghosts,9.,Sweden,$406.20,4 Players
Call of Duty Ghosts,10.,Netherlands,$270.80,4 Players
