game,rank,country,earning,players
Call of Duty Mobile,1.,China,"$1,832,651.29",82 Players
Call of Duty Mobile,2.,Philippines,"$543,500.03",21 Players
Call of Duty Mobile,3.,United States,"$540,583.37",17 Players
Call of Duty Mobile,4.,Mexico,"$389,916.69",11 Players
Call of Duty Mobile,5.,Brazil,"$365,000.00",22 Players
Call of Duty Mobile,6.,Japan,"$224,999.98",13 Players
Call of Duty Mobile,7.,Canada,"$216,916.67",4 Players
Call of Duty Mobile,8.,India,"$205,000.08",25 Players
Call of Duty Mobile,9.,Singapore,"$171,750.00",5 Players
Call of Duty Mobile,10.,Russian Federation,"$171,666.67",1 Player
Call of Duty Mobile,11.,United Kingdom,"$138,692.86",17 Players
Call of Duty Mobile,12.,France,"$126,691.66",11 Players
Call of Duty Mobile,13.,"Taiwan, Republic of China","$87,446.85",9 Players
Call of Duty Mobile,14.,Puerto Rico,"$85,166.67",2 Players
Call of Duty Mobile,15.,Indonesia,"$56,000.04",7 Players
Call of Duty Mobile,16.,Malaysia,"$51,750.00",7 Players
Call of Duty Mobile,17.,Spain,"$47,173.82",5 Players
Call of Duty Mobile,18.,Belgium,"$40,000.00",1 Player
Call of Duty Mobile,19.,Ecuador,"$36,000.00",1 Player
Call of Duty Mobile,20.,Myanmar,"$36,000.00",1 Player
Call of Duty Mobile,21.,Greece,"$25,000.00",1 Player
Call of Duty Mobile,22.,Venezuela,"$21,750.00",3 Players
Call of Duty Mobile,23.,Thailand,"$20,499.96",12 Players
Call of Duty Mobile,24.,Netherlands,"$18,000.00",2 Players
Call of Duty Mobile,25.,Mongolia,"$13,750.00",1 Player
Call of Duty Mobile,26.,Argentina,"$10,083.33",2 Players
Call of Duty Mobile,27.,Germany,"$8,083.34",3 Players
Call of Duty Mobile,28.,Honduras,"$8,000.00",1 Player
Call of Duty Mobile,29.,Viet Nam,"$8,000.00",1 Player
Call of Duty Mobile,30.,Iraq,"$7,083.33",1 Player
Call of Duty Mobile,31.,Czech Republic,"$5,400.00",1 Player
Call of Duty Mobile,32.,Dominican Republic,"$3,333.34",2 Players
Call of Duty Mobile,33.,Ireland,"$1,708.34",2 Players
